time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000321,000098,000115,000106
000011,366553,255615,297558,389716
000012,1096836,1118064,1193047,681093
000013,1237911,1279432,1550641,1357834
000014,1187335,1416654,1525308,2635258
000015,1704616,2724476,1916631,2923340
000016,4457068,4844454,4267175,3772535
000017,8527570,6962236,8077042,7263034
000018,8315174,8468592,8860647,8441023
000019,4823087,5567541,5095857,4804529
000020,2197553,2165131,1960025,1767008
000021,919615,557992,655487,549708
000022,455251,144888,204813,198515
000023,237106,063683,083588,096152
000024,119605,038314,044719,058239
000025,062679,028838,028952,040162
000026,035905,027128,023241,030915
000027,025020,025998,020073,025328
000028,019951,024305,017562,024592
000029,016090,021802,014995,031553
000030,014230,019615,013286,043048
000031,013138,019082,011438,042449
000032,012243,019092,010140,038861
000033,012021,022337,010461,036340
000034,012487,024368,011909,038579
000035,012313,023952,014272,061837
000036,011100,023995,015198,124794
000037,009788,022127,012888,162674
000038,008362,018676,009380,107598
000039,007019,014450,006025,061900
000040,005397,008644,003621,031251
000041,004334,005210,002210,012108
000042,003755,003339,001415,007182
000043,003173,002275,001126,005262
000044,003077,001852,000960,004379
000045,002856,001365,000864,003675
000046,002907,001061,000751,003199
000047,002781,000870,000627,002772
000048,002955,000609,000518,002722
000049,002769,000511,000531,002524
000050,002602,000408,000626,002379
000051,002590,000338,000610,002272
000052,002154,000299,000620,002309
000053,001834,000236,000391,002597
000054,001536,000196,000268,002861
000055,001151,000179,000204,003407
000056,000862,000158,000211,003645
000057,000628,000132,000214,003503
000058,000483,000112,000168,003297
000059,000383,000083,000160,003174
000060,000322,000066,000120,002927
000061,000223,000061,000107,002538
000062,000210,000046,000082,002270
000063,000184,000054,000073,002243
000064,000140,000037,000070,002114
000065,000126,000042,000054,002296
000066,000117,000022,000043,002549
000067,000120,000019,000062,002837
000068,000097,000022,000045,002898
000069,000093,000021,000042,002583
000070,000088,000028,000044,001880
000071,000085,000023,000028,001589
000072,000097,000029,000027,001439
000073,000078,000029,000035,001636
000074,000069,000022,000030,001943
000075,000063,000018,000035,002265
000076,000058,000023,000036,002816
000077,000056,000018,000021,003239
000078,000062,000009,000023,003166
000079,000040,000011,000043,002364
000080,000056,000012,000025,001605
000081,000044,000027,000022,001004
000082,000047,000010,000024,000566
000083,000051,000017,000031,000338
000084,000039,000015,000037,000243
000085,000032,000019,000031,000222
000086,000043,000020,000028,000218
000087,000034,000010,000036,000257
000088,000045,000018,000033,000222
000089,000032,000018,000036,000197
000090,000041,000020,000028,000208
000091,000034,000019,000022,000215
000092,000037,000015,000019,000153
000093,000026,000017,000028,000135
000094,000036,000018,000022,000125
000095,000034,000023,000027,000083
000096,000031,000023,000027,000075
000097,000034,000021,000029,000056
000098,000037,000021,000025,000057
000099,000038,000028,000026,000056
000100,000041,000027,000027,000037
000101,000041,000031,000029,000053
000102,000042,000028,000041,000045
000103,000029,000032,000026,000045
000104,000037,000021,000039,000039
000105,000032,000036,000031,000033
000106,000039,000024,000036,000038
000107,000036,000032,000044,000034
000108,000025,000034,000034,000027
000109,000052,000037,000034,000029
000110,000038,000032,000026,000035
000111,000044,000030,000041,000029
000112,000030,000030,000033,000033
000113,000043,000027,000034,000033
000114,000038,000032,000028,000028
000115,000034,000037,000044,000032
000116,000042,000036,000034,000026
000117,000038,000049,000036,000033
000118,000043,000055,000048,000023
000119,000040,000036,000037,000033
000120,000045,000044,000042,000034
000121,000051,000041,000042,000032
000122,000047,000037,000050,000031
000123,000057,000055,000040,000029
000124,000046,000042,000044,000030
000125,000048,000047,000070,000038
000126,000060,000047,000044,000033
000127,000049,000031,000063,000024
000128,000054,000042,000056,000038
000129,000057,000047,000053,000029
000130,000047,000047,000038,000033
000131,000054,000038,000058,000029
000132,000056,000055,000056,000032
000133,000041,000057,000055,000032
000134,000050,000056,000047,000022
000135,000049,000056,000053,000024
000136,000060,000053,000054,000022
000137,000068,000051,000051,000031
000138,000057,000043,000057,000038
000139,000064,000045,000058,000033
000140,000063,000068,000059,000039
000141,000055,000060,000052,000030
000142,000065,000057,000058,000041
000143,000054,000075,000060,000035
000144,000050,000074,000056,000032
000145,000062,000064,000056,000036
000146,000054,000058,000057,000024
000147,000051,000055,000049,000035
000148,000060,000054,000060,000040
000149,000062,000070,000064,000044
000150,000080,000055,000068,000037
000151,000066,000068,000070,000030
000152,000058,000070,000057,000034
000153,000071,000069,000075,000042
000154,000059,000066,000049,000037
000155,000072,000069,000066,000046
000156,000078,000073,000070,000045
000157,000089,000066,000068,000029
000158,000064,000053,000050,000041
000159,000069,000063,000076,000038
000160,000079,000062,000070,000024
000161,000072,000084,000064,000053
000162,000076,000072,000071,000040
000163,000075,000067,000067,000052
000164,000092,000081,000043,000055
000165,000068,000063,000065,000043
000166,000060,000057,000081,000057
000167,000054,000067,000074,000058
