time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000000
000009,000000
000010,000000
000011,000013
000012,000205
000013,000273
000014,000321
000015,000325
000016,000258
000017,000477
000018,011371
000019,3600444
000020,6541161
000021,3651343
000022,1550687
000023,1373852
000024,869980
000025,296280
000026,047335
000027,019932
000028,010722
000029,006266
000030,003640
000031,002447
000032,001828
000033,001266
000034,000810
000035,000607
000036,000486
000037,000391
000038,000257
000039,000270
000040,000233
000041,000226
000042,000179
000043,000169
000044,000131
000045,000130
000046,000089
000047,000081
000048,000086
000049,000078
000050,000071
000051,000063
000052,000052
000053,000056
000054,000042
000055,000051
000056,000045
000057,000044
000058,000047
000059,000045
000060,000035
000061,000030
000062,000031
000063,000032
000064,000029
000065,000035
000066,000037
000067,000041
000068,000040
000069,000052
000070,000030
000071,000038
000072,000036
000073,000030
000074,000035
000075,000031
000076,000028
000077,000040
000078,000032
000079,000046
000080,000048
000081,000030
000082,000037
000083,000034
000084,000040
000085,000039
000086,000043
000087,000033
000088,000034
000089,000038
000090,000038
000091,000036
000092,000042
000093,000043
000094,000035
000095,000032
000096,000039
000097,000036
000098,000031
000099,000044
000100,000029
000101,000035
000102,000026
000103,000044
000104,000026
000105,000026
000106,000030
000107,000038
000108,000029
000109,000041
000110,000036
000111,000032
000112,000028
000113,000039
000114,000031
000115,000035
000116,000038
000117,000035
000118,000033
000119,000035
000120,000030
000121,000024
000122,000036
000123,000042
000124,000044
000125,000032
000126,000038
000127,000044
000128,000037
000129,000040
000130,000038
000131,000037
000132,000040
000133,000026
000134,000027
000135,000036
000136,000040
000137,000040
000138,000032
000139,000039
000140,000038
000141,000047
000142,000028
000143,000033
000144,000034
000145,000036
000146,000034
000147,000035
000148,000030
000149,000030
000150,000026
000151,000018
000152,000033
000153,000030
000154,000023
000155,000031
000156,000026
000157,000021
000158,000028
000159,000029
000160,000024
000161,000024
000162,000024
000163,000018
000164,000022
000165,000028
000166,000027
000167,000019
000168,000016
000169,000012
000170,000023
000171,000023
000172,000018
000173,000018
000174,000019
000175,000028
000176,000027
000177,000017
000178,000017
000179,000012
000180,000014
000181,000011
000182,000016
000183,000013
000184,000014
000185,000010
000186,000017
000187,000014
000188,000010
000189,000010
000190,000009
000191,000011
000192,000009
000193,000014
000194,000014
000195,000009
000196,000010
000197,000005
000198,000012
000199,000009
000200,000008
000201,000007
000202,000007
000203,000008
000204,000011
000205,000007
000206,000014
000207,000008
000208,000003
000209,000016
000210,000012
000211,000009
000212,000003
000213,000006
000214,000008
000215,000007
000216,000007
000217,000001
000218,000005
000219,000010
000220,000006
000221,000006
000222,000004
000223,000001
000224,000007
000225,000005
000226,000002
000227,000004
000228,000005
000229,000006
000230,000008
000231,000007
000232,000007
000233,000005
000234,000004
000235,000004
000236,000001
000237,000006
000238,000004
000239,000006
000240,000001
000241,000002
000242,000007
000243,000000
000244,000001
000245,000002
000246,000000
000247,000000
000248,000004
000249,000001
000250,000005
000251,000003
000252,000004
000253,000003
000254,000003
000255,000002
000256,000000
000257,000004
000258,000002
000259,000000
000260,000000
000261,000000
000262,000003
000263,000002
000264,000002
000265,000001
000266,000001
000267,000000
000268,000002
000269,000002
000270,000002
000271,000001
000272,000000
000273,000001
000274,000000
000275,000000
000276,000002
000277,000001
000278,000001
000279,000000
000280,000001
000281,000000
000282,000003
000283,000000
000284,000001
000285,000001
000286,000000
000287,000002
000288,000002
000289,000000
000290,000000
000291,000001
000292,000000
000293,000001
000294,000002
000295,000001
000296,000000
000297,000000
000298,000000
000299,000000
000300,000001
000301,000000
000302,000000
000303,000001
000304,000000
000305,000000
000306,000000
000307,000003
000308,000001
000309,000001
000310,000000
000311,000001
000312,000000
000313,000001
000314,000002
000315,000000
000316,000001
000317,000000
000318,000000
000319,000000
000320,000001
000321,000000
000322,000000
000323,000000
000324,000001
000325,000000
000326,000000
000327,000001
000328,000000
000329,000001
000330,000000
000331,000000
000332,000002
000333,000000
000334,000001
000335,000000
000336,000000
000337,000002
000338,000000
000339,000000
000340,000001
000341,000001
000342,000000
000343,000001
000344,000000
000345,000001
000346,000000
000347,000000
000348,000000
000349,000000
000350,000000
000351,000001
000352,000000
000353,000000
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000001
000361,000000
000362,000000
000363,000000
000364,000000
000365,000000
000366,000000
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000000
000374,000000
000375,000000
000376,000000
000377,000000
000378,000000
000379,000000
000380,000000
000381,000000
000382,000000
000383,000000
000384,000000
000385,000000
000386,000000
000387,000000
000388,000000
000389,000000
000390,000000
000391,000000
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000000
000399,000000
000400,000000
000401,000000
000402,000000
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000000
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000000
000428,000000
000429,000000
000430,000000
000431,000000
000432,000000
000433,000000
000434,000000
000435,000001
000436,000000
000437,000000
000438,000000
000439,000000
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000000
000461,000000
000462,000000
000463,000000
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000000
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000000
000499,000000
