time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000000
000009,000000
000010,000001
000011,003805
000012,019588
000013,026280
000014,024200
000015,018648
000016,014671
000017,025478
000018,088963
000019,12902014
000020,10835327
000021,4790540
000022,4443682
000023,1426072
000024,1232979
000025,095740
000026,021745
000027,008565
000028,004750
000029,002919
000030,001973
000031,001283
000032,000970
000033,000736
000034,000555
000035,000412
000036,000313
000037,000220
000038,000177
000039,000145
000040,000157
000041,000092
000042,000080
000043,000097
000044,000082
000045,000077
000046,000064
000047,000054
000048,000047
000049,000036
000050,000039
000051,000032
000052,000029
000053,000024
000054,000026
000055,000031
000056,000032
000057,000017
000058,000023
000059,000021
000060,000027
000061,000032
000062,000017
000063,000030
000064,000022
000065,000018
000066,000026
000067,000025
000068,000019
000069,000022
000070,000025
000071,000017
000072,000022
000073,000026
000074,000026
000075,000019
000076,000033
000077,000026
000078,000020
000079,000026
000080,000032
000081,000025
000082,000021
000083,000029
000084,000024
000085,000025
000086,000024
000087,000023
000088,000023
000089,000028
000090,000033
000091,000029
000092,000027
000093,000023
000094,000024
000095,000029
000096,000029
000097,000030
000098,000030
000099,000023
000100,000037
000101,000035
000102,000028
000103,000026
000104,000038
000105,000042
000106,000051
000107,000049
000108,000050
000109,000051
000110,000039
000111,000047
000112,000042
000113,000030
000114,000038
000115,000048
000116,000043
000117,000038
000118,000036
000119,000037
000120,000025
000121,000037
000122,000041
000123,000038
000124,000028
000125,000036
000126,000031
000127,000039
000128,000029
000129,000034
000130,000031
000131,000040
000132,000034
000133,000034
000134,000029
000135,000027
000136,000027
000137,000023
000138,000024
000139,000023
000140,000015
000141,000014
000142,000014
000143,000019
000144,000018
000145,000010
000146,000017
000147,000012
000148,000011
000149,000006
000150,000012
000151,000016
000152,000013
000153,000010
000154,000014
000155,000018
000156,000022
000157,000012
000158,000022
000159,000022
000160,000024
000161,000023
000162,000023
000163,000025
000164,000025
000165,000018
000166,000012
000167,000012
000168,000018
000169,000024
000170,000012
000171,000019
000172,000017
000173,000014
000174,000015
000175,000014
000176,000014
000177,000008
000178,000009
000179,000006
000180,000004
000181,000006
000182,000005
000183,000010
000184,000004
000185,000003
000186,000004
000187,000005
000188,000002
000189,000001
000190,000003
000191,000003
000192,000002
000193,000003
000194,000005
000195,000005
000196,000005
000197,000004
000198,000006
000199,000004
000200,000008
000201,000005
000202,000002
000203,000006
000204,000004
000205,000002
000206,000007
000207,000001
000208,000005
000209,000003
000210,000003
000211,000004
000212,000003
000213,000000
000214,000004
000215,000004
000216,000001
000217,000006
000218,000007
000219,000000
000220,000003
000221,000002
000222,000007
000223,000003
000224,000002
000225,000004
000226,000005
000227,000003
000228,000004
000229,000004
000230,000003
000231,000001
000232,000005
000233,000003
000234,000005
000235,000000
000236,000003
000237,000001
000238,000002
000239,000002
000240,000002
000241,000001
000242,000003
000243,000003
000244,000001
000245,000000
000246,000002
000247,000003
000248,000002
000249,000003
000250,000001
000251,000002
000252,000001
000253,000001
000254,000001
000255,000002
000256,000001
000257,000000
000258,000002
000259,000001
000260,000001
000261,000003
000262,000000
000263,000002
000264,000003
000265,000002
000266,000004
000267,000003
000268,000003
000269,000001
000270,000000
000271,000000
000272,000000
000273,000003
000274,000002
000275,000003
000276,000002
000277,000001
000278,000003
000279,000000
000280,000000
000281,000000
000282,000001
000283,000001
000284,000001
000285,000003
000286,000000
000287,000000
000288,000001
000289,000001
000290,000000
000291,000003
000292,000001
000293,000000
000294,000001
000295,000001
000296,000002
000297,000001
000298,000001
000299,000001
000300,000001
000301,000000
000302,000001
000303,000001
000304,000000
000305,000000
000306,000000
000307,000002
000308,000001
000309,000001
000310,000000
000311,000000
000312,000002
000313,000000
000314,000000
000315,000000
000316,000000
000317,000000
000318,000001
000319,000000
000320,000001
000321,000000
000322,000000
000323,000000
000324,000002
000325,000000
000326,000000
000327,000003
000328,000002
000329,000000
000330,000001
000331,000001
000332,000000
000333,000001
000334,000000
000335,000000
000336,000001
000337,000000
000338,000001
000339,000001
000340,000001
000341,000000
000342,000000
000343,000000
000344,000001
000345,000000
000346,000000
000347,000000
000348,000000
000349,000001
000350,000000
000351,000000
000352,000001
000353,000001
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000000
000361,000000
000362,000000
000363,000000
000364,000000
000365,000000
000366,000000
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000001
000374,000000
000375,000000
000376,000000
000377,000000
000378,000000
000379,000000
000380,000000
000381,000001
000382,000001
000383,000000
000384,000000
000385,000001
000386,000000
000387,000000
000388,000000
000389,000000
000390,000000
000391,000001
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000000
000399,000000
000400,000000
000401,000000
000402,000001
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000001
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000001
000428,000000
000429,000000
000430,000000
000431,000001
000432,000000
000433,000000
000434,000000
000435,000000
000436,000000
000437,000001
000438,000001
000439,000000
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000000
000461,000000
000462,000000
000463,000000
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000001
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000001
000499,000000
