i,time,sleep,duration,overruns
0,1711893191479602,0,0,0
1,1711893191489609,9977,22,0
2,1711893191499613,9984,15,0
3,1711893191509617,9987,12,0
4,1711893191519621,9989,10,0
5,1711893191529625,9986,13,0
6,1711893191539629,9989,10,0
7,1711893191549633,9989,10,0
8,1711893191559637,9989,10,0
9,1711893191569641,9988,11,0
10,1711893191579647,9989,10,0
11,1711893191589650,9989,10,0
12,1711893191599654,9989,10,0
13,1711893191609659,9989,10,0
14,1711893191619662,9989,10,0
15,1711893191629666,9989,10,0
16,1711893191639670,9989,10,0
17,1711893191649674,9989,11,0
18,1711893191659678,9989,10,0
19,1711893191669682,9989,10,0
20,1711893191679687,9989,10,0
21,1711893191689691,9990,9,0
22,1711893191699695,9989,10,0
23,1711893191709699,9988,11,0
24,1711893191719702,9989,10,0
25,1711893191729706,9989,10,0
26,1711893191739710,9989,10,0
27,1711893191749714,9989,10,0
28,1711893191759718,9989,10,0
29,1711893191769721,9989,10,0
30,1711893191779727,9989,10,0
31,1711893191789731,9988,11,0
32,1711893191799735,9989,10,0
33,1711893191809738,9989,10,0
34,1711893191819742,9989,10,0
35,1711893191829746,9989,10,0
36,1711893191839750,9989,10,0
37,1711893191849754,9989,10,0
38,1711893191859758,9989,10,0
39,1711893191869761,9989,10,0
40,1711893191879766,9989,10,0
41,1711893191889770,9989,10,0
42,1711893191899774,9989,10,0
43,1711893191909778,9989,10,0
44,1711893191919782,9989,10,0
45,1711893191929786,9989,10,0
46,1711893191939790,9989,10,0
47,1711893191949794,9989,10,0
48,1711893191959798,9989,10,0
49,1711893191969802,9989,10,0
50,1711893191979807,9989,10,0
51,1711893191989811,9988,11,0
52,1711893191999815,9989,10,0
53,1711893192009819,9989,10,0
54,1711893192019822,9989,10,0
55,1711893192029826,9989,10,0
56,1711893192039830,9989,10,0
57,1711893192049833,9989,10,0
58,1711893192059837,9989,10,0
59,1711893192069841,9989,10,0
60,1711893192079845,9989,10,0
61,1711893192089849,9989,10,0
62,1711893192099853,9989,10,0
63,1711893192109856,9989,10,0
64,1711893192119860,9989,10,0
65,1711893192129864,9989,10,0
66,1711893192139867,9989,10,0
67,1711893192149871,9989,10,0
68,1711893192159875,9989,10,0
69,1711893192169879,9989,10,0
70,1711893192179884,9990,9,0
71,1711893192189888,9990,9,0
72,1711893192199891,9989,10,0
73,1711893192209895,9989,10,0
74,1711893192219898,9990,10,0
75,1711893192229902,9989,10,0
76,1711893192239906,9989,10,0
77,1711893192249909,9989,10,0
78,1711893192259913,9990,10,0
79,1711893192269916,9989,10,0
80,1711893192279921,9989,10,0
81,1711893192289925,9989,10,0
82,1711893192299928,9989,10,0
83,1711893192309932,9989,10,0
84,1711893192319936,9990,9,0
85,1711893192329939,9989,10,0
86,1711893192339946,9989,10,0
87,1711893192349950,9988,11,0
88,1711893192359954,9989,10,0
89,1711893192369958,9989,10,0
90,1711893192379963,9989,10,0
91,1711893192389967,9990,9,0
92,1711893192399971,9989,10,0
93,1711893192409975,9989,10,0
94,1711893192419979,9989,10,0
95,1711893192429982,9989,10,0
96,1711893192439986,9989,10,0
97,1711893192449990,9989,10,0
98,1711893192459994,9989,10,0
99,1711893192469998,9989,10,0
100,1711893192480003,9989,10,0
101,1711893192490007,9989,10,0
102,1711893192500011,9989,10,0
103,1711893192510014,9989,10,0
104,1711893192520018,9989,10,0
