index,time
0,1712169378787198
1,1712169378788191
2,1712169378789193
3,1712169378790196
4,1712169378791200
5,1712169378792203
6,1712169378793206
7,1712169378794209
8,1712169378795213
9,1712169378796216
10,1712169378797219
11,1712169378798223
12,1712169378799226
13,1712169378800230
14,1712169378801233
15,1712169378802236
16,1712169378803240
17,1712169378804243
18,1712169378805246
19,1712169378806249
20,1712169378807253
21,1712169378808256
22,1712169378809259
23,1712169378810263
24,1712169378811266
25,1712169378812269
26,1712169378813273
27,1712169378814276
28,1712169378815280
29,1712169378816283
30,1712169378817286
31,1712169378818289
32,1712169378819293
33,1712169378820296
34,1712169378821299
35,1712169378822303
36,1712169378823306
37,1712169378824309
38,1712169378825313
39,1712169378826316
40,1712169378827320
41,1712169378828323
42,1712169378829326
43,1712169378830329
44,1712169378831333
45,1712169378832336
46,1712169378833339
47,1712169378834343
48,1712169378835346
49,1712169378836349
50,1712169378837353
51,1712169378838356
52,1712169378839360
53,1712169378840363
54,1712169378841366
55,1712169378842369
56,1712169378843373
57,1712169378844376
58,1712169378845379
59,1712169378846382
60,1712169378847386
61,1712169378848389
62,1712169378849393
63,1712169378850402
64,1712169378851400
65,1712169378852402
66,1712169378853406
67,1712169378854410
68,1712169378855413
69,1712169378856416
70,1712169378857420
71,1712169378858424
72,1712169378859427
73,1712169378860430
74,1712169378861433
75,1712169378862437
76,1712169378863440
77,1712169378864444
78,1712169378865447
79,1712169378866451
80,1712169378867454
81,1712169378868457
82,1712169378869461
83,1712169378870464
84,1712169378871467
85,1712169378872470
86,1712169378873474
87,1712169378874477
88,1712169378875480
89,1712169378876483
90,1712169378877487
91,1712169378878490
92,1712169378879494
93,1712169378880497
94,1712169378881500
95,1712169378882504
96,1712169378883507
97,1712169378884510
98,1712169378885513
99,1712169378886517
100,1712169378887522
101,1712169378888525
102,1712169378889529
103,1712169378890532
104,1712169378891536
105,1712169378892539
106,1712169378893542
107,1712169378894545
108,1712169378895549
109,1712169378896552
110,1712169378897555
111,1712169378898559
112,1712169378899562
113,1712169378900565
114,1712169378901569
115,1712169378902572
116,1712169378903576
117,1712169378904579
118,1712169378905582
119,1712169378906586
120,1712169378907589
121,1712169378908592
122,1712169378909596
123,1712169378910599
124,1712169378911602
125,1712169378912606
126,1712169378913609
127,1712169378914613
128,1712169378915616
129,1712169378916619
130,1712169378917622
131,1712169378918626
132,1712169378919629
133,1712169378920632
134,1712169378921636
135,1712169378922639
136,1712169378923643
137,1712169378924646
138,1712169378925649
139,1712169378926653
140,1712169378927656
141,1712169378928659
142,1712169378929662
143,1712169378930666
144,1712169378931669
145,1712169378932672
146,1712169378933676
147,1712169378934679
148,1712169378935683
149,1712169378936686
150,1712169378937689
151,1712169378938693
152,1712169378939696
153,1712169378940699
154,1712169378941702
155,1712169378942706
156,1712169378943709
157,1712169378944713
158,1712169378945716
159,1712169378946720
160,1712169378947723
161,1712169378948726
162,1712169378949729
163,1712169378950733
164,1712169378951736
165,1712169378952739
166,1712169378953743
167,1712169378954746
168,1712169378955749
169,1712169378956753
170,1712169378957756
171,1712169378958760
172,1712169378959763
173,1712169378960766
174,1712169378961769
175,1712169378962773
176,1712169378963776
177,1712169378964779
178,1712169378965783
179,1712169378966786
180,1712169378967790
181,1712169378968793
182,1712169378969796
183,1712169378970800
184,1712169378971803
185,1712169378972806
186,1712169378973810
187,1712169378974813
188,1712169378975816
189,1712169378976820
190,1712169378977823
191,1712169378978827
192,1712169378979830
193,1712169378980833
194,1712169378981836
195,1712169378982840
196,1712169378983843
