index,time,sleep,duration,overruns,count
0,1711892613636788,0,0,0,0
1,1711892613646794,9963,36,0,1
2,1711892613656798,9984,15,0,2
3,1711892613666802,9990,9,0,3
4,1711892613676805,9990,9,0,4
5,1711892613686809,9990,10,0,5
6,1711892613696813,9990,9,0,6
7,1711892613706817,9990,9,0,7
8,1711892613716820,9990,9,0,8
9,1711892613726824,9990,9,0,9
10,1711892613736832,9990,9,0,10
11,1711892613746836,9989,10,0,11
12,1711892613756840,9990,9,0,12
13,1711892613766844,9990,9,0,13
14,1711892613776847,9990,9,0,14
15,1711892613786851,9990,9,0,15
16,1711892613796855,9990,9,0,16
17,1711892613806858,9990,9,0,17
18,1711892613816862,9990,9,0,18
19,1711892613826866,9990,9,0,19
20,1711892613836871,9990,9,0,20
21,1711892613846874,9991,8,0,21
22,1711892613856878,9990,9,0,22
23,1711892613866882,9990,9,0,23
24,1711892613876886,9990,9,0,24
25,1711892613886894,9990,9,0,25
26,1711892613896899,9985,14,0,26
27,1711892613906902,9990,9,0,27
28,1711892613916906,9991,8,0,28
29,1711892613926910,9990,9,0,29
30,1711892613936916,9991,8,0,30
31,1711892613946920,9990,9,0,31
32,1711892613956923,9990,9,0,32
33,1711892613966927,9990,9,0,33
34,1711892613976931,9990,9,0,34
35,1711892613986934,9990,9,0,35
36,1711892613996938,9990,9,0,36
37,1711892614006942,9990,9,0,37
38,1711892614016945,9990,9,0,38
39,1711892614026949,9991,8,0,39
40,1711892614036954,9990,9,0,40
41,1711892614046958,9990,9,0,41
42,1711892614056961,9990,9,0,42
43,1711892614066966,9990,9,0,43
44,1711892614076969,9990,9,0,44
45,1711892614086973,9990,9,0,45
46,1711892614096977,9990,9,0,46
47,1711892614106980,9990,9,0,47
48,1711892614116984,9991,8,0,48
49,1711892614126988,9991,8,0,49
50,1711892614136993,9990,9,0,50
51,1711892614146997,9991,8,0,51
52,1711892614157001,9990,9,0,52
53,1711892614167005,9991,8,0,53
54,1711892614177009,9991,8,0,54
55,1711892614187012,9991,8,0,55
56,1711892614197016,9990,9,0,56
57,1711892614207020,9991,8,0,57
58,1711892614217023,9991,8,0,58
59,1711892614227027,9991,8,0,59
60,1711892614237032,9991,8,0,60
61,1711892614247036,9991,8,0,61
62,1711892614257039,9991,8,0,62
63,1711892614267044,9991,8,0,63
64,1711892614277047,9990,9,0,64
65,1711892614287051,9990,9,0,65
66,1711892614297055,9990,9,0,66
67,1711892614307058,9991,8,0,67
68,1711892614317062,9990,9,0,68
69,1711892614327066,9991,9,0,69
70,1711892614337070,9990,9,0,70
71,1711892614347074,9991,8,0,71
72,1711892614357078,9990,9,0,72
73,1711892614367082,9991,8,0,73
74,1711892614377085,9990,9,0,74
75,1711892614387089,9990,9,0,75
76,1711892614397093,9990,9,0,76
77,1711892614407097,9990,9,0,77
78,1711892614417100,9990,9,0,78
79,1711892614427104,9990,9,0,79
80,1711892614437109,9990,9,0,80
81,1711892614447113,9991,8,0,81
82,1711892614457116,9990,9,0,82
83,1711892614467120,9990,9,0,83
84,1711892614477124,9990,9,0,84
85,1711892614487127,9991,8,0,85
86,1711892614497131,9990,9,0,86
87,1711892614507135,9990,9,0,87
88,1711892614517138,9990,9,0,88
89,1711892614527142,9991,8,0,89
90,1711892614537147,9990,9,0,90
91,1711892614547151,9991,8,0,91
92,1711892614557155,9990,9,0,92
93,1711892614567159,9990,9,0,93
94,1711892614577163,9990,9,0,94
95,1711892614587167,9990,9,0,95
96,1711892614597171,9990,9,0,96
97,1711892614607175,9990,9,0,97
98,1711892614617179,9990,9,0,98
99,1711892614627183,9990,9,0,99
100,1711892614637188,9990,9,0,100
101,1711892614647192,9991,8,0,101
102,1711892614657196,9990,9,0,102
103,1711892614667200,9990,9,0,103
104,1711892614677204,9990,9,0,104
105,1711892614687208,9990,9,0,105
106,1711892614697212,9990,9,0,106
107,1711892614707216,9990,9,0,107
108,1711892614717219,9990,9,0,108
109,1711892614727228,9990,9,0,109
110,1711892614737234,9981,18,0,110
111,1711892614747239,9990,9,0,111
112,1711892614757243,9990,9,0,112
113,1711892614767247,9990,9,0,113
114,1711892614777251,9990,9,0,114
115,1711892614787255,9990,9,0,115
116,1711892614797259,9989,10,0,116
117,1711892614807263,9990,9,0,117
118,1711892614817267,9990,9,0,118
119,1711892614827271,9990,9,0,119
120,1711892614837276,9990,9,0,120
121,1711892614847280,9991,8,0,121
122,1711892614857284,9990,9,0,122
123,1711892614867288,9990,9,0,123
124,1711892614877292,9990,9,0,124
125,1711892614887296,9990,9,0,125
126,1711892614897299,9990,9,0,126
127,1711892614907303,9990,9,0,127
128,1711892614917307,9990,9,0,128
129,1711892614927311,9988,11,0,129
130,1711892614937317,9990,9,0,130
131,1711892614947321,9991,8,0,131
132,1711892614957325,9990,9,0,132
133,1711892614967329,9990,9,0,133
134,1711892614977333,9990,9,0,134
135,1711892614987337,9990,9,0,135
136,1711892614997341,9990,9,0,136
137,1711892615007345,9990,9,0,137
138,1711892615017349,9990,9,0,138
139,1711892615027353,9990,9,0,139
140,1711892615037358,9990,9,0,140
141,1711892615047362,9991,8,0,141
142,1711892615057366,9990,9,0,142
143,1711892615067370,9990,9,0,143
144,1711892615077374,9990,9,0,144
145,1711892615087378,9990,9,0,145
