index,time,sleep,duration,overruns
0,1520598978886543,0,0,0
1,1520598978887562,983,17,0
2,1520598978888577,991,8,0
3,1520598978889592,991,8,0
4,1520598978890607,992,7,0
5,1520598978891621,989,10,0
6,1520598978892636,992,7,0
7,1520598978893650,992,7,0
8,1520598978894664,992,7,0
9,1520598978895679,991,8,0
10,1520598978896693,992,7,0
11,1520598978897707,992,7,0
12,1520598978898721,992,7,0
13,1520598978899736,992,7,0
14,1520598978900750,992,7,0
15,1520598978901765,992,7,0
16,1520598978902779,992,7,0
17,1520598978903793,991,8,0
18,1520598978904808,992,7,0
19,1520598978905822,992,7,0
20,1520598978906836,992,7,0
21,1520598978907850,992,7,0
22,1520598978908865,992,7,0
23,1520598978909879,992,7,0
24,1520598978910893,992,7,0
25,1520598978911907,992,7,0
26,1520598978912922,992,7,0
27,1520598978913936,992,7,0
28,1520598978914950,992,7,0
29,1520598978915965,992,7,0
30,1520598978916979,992,7,0
31,1520598978917993,992,7,0
32,1520598978919008,992,7,0
33,1520598978920023,978,21,0
34,1520598978921037,992,7,0
35,1520598978922052,992,7,0
36,1520598978923066,992,7,0
37,1520598978924080,992,7,0
38,1520598978925095,992,7,0
39,1520598978926109,992,7,0
40,1520598978927123,992,7,0
41,1520598978928137,992,7,0
42,1520598978929151,992,7,0
43,1520598978930165,992,7,0
44,1520598978931180,992,7,0
45,1520598978932194,992,7,0
46,1520598978933208,992,7,0
47,1520598978934222,992,7,0
48,1520598978935237,992,7,0
49,1520598978936251,992,7,0
50,1520598978937265,992,7,0
51,1520598978938279,992,7,0
52,1520598978939293,992,7,0
53,1520598978940308,992,7,0
54,1520598978941322,992,7,0
55,1520598978942336,992,7,0
56,1520598978943351,992,7,0
57,1520598978944365,992,7,0
58,1520598978945383,992,7,0
59,1520598978946398,992,7,0
60,1520598978947412,992,7,0
61,1520598978948426,992,7,0
62,1520598978949440,992,7,0
63,1520598978950454,992,7,0
64,1520598978951469,992,7,0
65,1520598978952483,991,8,0
66,1520598978953497,992,7,0
67,1520598978954511,992,7,0
68,1520598978955526,992,7,0
69,1520598978956540,992,7,0
70,1520598978957555,992,7,0
71,1520598978958569,992,7,0
72,1520598978959583,992,7,0
73,1520598978960598,992,7,0
74,1520598978961611,992,7,0
75,1520598978962626,992,7,0
76,1520598978963640,992,7,0
77,1520598978964654,992,7,0
78,1520598978965668,992,7,0
79,1520598978966683,992,7,0
80,1520598978967697,992,7,0
81,1520598978968712,992,7,0
82,1520598978969726,992,7,0
83,1520598978970740,992,7,0
84,1520598978971755,992,7,0
85,1520598978972769,992,7,0
86,1520598978973783,992,7,0
87,1520598978974797,992,7,0
88,1520598978975812,992,7,0
89,1520598978976826,992,7,0
90,1520598978977840,992,7,0
91,1520598978978854,992,7,0
92,1520598978979869,992,7,0
93,1520598978980883,992,7,0
94,1520598978981897,992,7,0
95,1520598978982912,992,7,0
96,1520598978983926,992,7,0
97,1520598978984940,992,7,0
98,1520598978985954,992,7,0
99,1520598978986969,992,7,0
100,1520598978987983,992,7,0
101,1520598978988997,992,7,0
102,1520598978990011,992,7,0
103,1520598978991026,992,7,0
104,1520598978992040,992,7,0
105,1520598978993055,992,7,0
106,1520598978994069,992,7,0
107,1520598978995083,992,7,0
108,1520598978996097,992,7,0
109,1520598978997112,992,7,0
110,1520598978998126,992,7,0
111,1520598978999140,992,7,0
112,1520598979000154,992,7,0
113,1520598979001169,992,7,0
114,1520598979002183,992,7,0
115,1520598979003197,992,7,0
116,1520598979004212,992,7,0
117,1520598979005226,992,7,0
118,1520598979006240,992,7,0
119,1520598979007255,992,7,0
120,1520598979008269,992,7,0
121,1520598979009283,992,7,0
122,1520598979010297,992,7,0
123,1520598979011312,992,7,0
124,1520598979012326,992,7,0
125,1520598979013340,992,7,0
126,1520598979014354,992,7,0
127,1520598979015369,992,7,0
128,1520598979016383,992,7,0
129,1520598979017398,980,19,0
130,1520598979018413,992,7,0
131,1520598979019427,992,7,0
132,1520598979020441,992,7,0
133,1520598979021456,992,7,0
134,1520598979022470,992,7,0
135,1520598979023485,992,7,0
136,1520598979024499,992,7,0
137,1520598979025513,992,7,0
138,1520598979026528,992,7,0
139,1520598979027542,992,7,0
140,1520598979028557,992,7,0
141,1520598979029571,992,7,0
142,1520598979030585,992,7,0
143,1520598979031599,992,7,0
144,1520598979032613,992,7,0
145,1520598979033627,992,7,0
146,1520598979034642,992,7,0
147,1520598979035656,992,7,0
148,1520598979036670,992,7,0
149,1520598979037684,992,7,0
150,1520598979038698,992,7,0
151,1520598979039713,992,7,0
152,1520598979040727,992,7,0
153,1520598979041741,992,7,0
154,1520598979042755,992,7,0
155,1520598979043770,992,7,0
156,1520598979044784,992,7,0
157,1520598979045798,992,7,0
158,1520598979046812,992,7,0
159,1520598979047826,992,7,0
160,1520598979048841,992,7,0
161,1520598979049855,992,7,0
162,1520598979050869,992,7,0
163,1520598979051883,992,7,0
164,1520598979052898,992,7,0
165,1520598979053911,992,7,0
166,1520598979054926,992,7,0
167,1520598979055940,992,7,0
168,1520598979056954,992,7,0
169,1520598979057968,992,7,0
170,1520598979058982,992,7,0
171,1520598979059997,992,7,0
172,1520598979061011,992,7,0
173,1520598979062025,992,7,0
174,1520598979063039,992,7,0
175,1520598979064054,992,7,0
176,1520598979065068,992,7,0
177,1520598979066082,992,7,0
178,1520598979067096,992,7,0
179,1520598979068110,992,7,0
180,1520598979069125,992,7,0
181,1520598979070139,992,7,0
182,1520598979071153,992,7,0
183,1520598979072168,992,7,0
184,1520598979073182,992,7,0
185,1520598979074196,992,7,0
186,1520598979075211,992,7,0
187,1520598979076225,992,7,0
188,1520598979077239,992,7,0
189,1520598979078254,992,7,0
190,1520598979079268,992,7,0
191,1520598979080283,992,7,0
192,1520598979081297,992,7,0
193,1520598979082311,992,7,0
194,1520598979083326,992,7,0
195,1520598979084340,992,7,0
196,1520598979085354,992,7,0
197,1520598979086368,992,7,0
198,1520598979087383,992,7,0
199,1520598979088397,992,7,0
200,1520598979089411,992,7,0
201,1520598979090426,992,7,0
202,1520598979091440,992,7,0
203,1520598979092454,992,7,0
204,1520598979093468,992,7,0
205,1520598979094483,992,7,0
206,1520598979095497,992,7,0
207,1520598979096512,992,7,0
208,1520598979097526,992,7,0
209,1520598979098540,992,7,0
210,1520598979099555,992,7,0
211,1520598979100569,992,7,0
212,1520598979101583,992,7,0
213,1520598979102598,992,7,0
214,1520598979103612,992,7,0
215,1520598979104627,992,7,0
216,1520598979105641,992,7,0
217,1520598979106655,992,7,0
218,1520598979107670,992,7,0
219,1520598979108684,992,7,0
220,1520598979109698,992,7,0
221,1520598979110713,992,7,0
222,1520598979111727,992,7,0
223,1520598979112742,992,7,0
224,1520598979113756,992,7,0
225,1520598979114770,992,7,0
226,1520598979115785,992,7,0
227,1520598979116799,992,7,0
228,1520598979117813,992,7,0
229,1520598979118828,992,7,0
230,1520598979119842,992,7,0
231,1520598979120857,992,7,0
232,1520598979121871,992,7,0
233,1520598979122885,992,7,0
234,1520598979123900,992,7,0
235,1520598979124914,992,7,0
236,1520598979125928,992,7,0
237,1520598979126942,992,7,0
238,1520598979127957,992,7,0
239,1520598979128971,992,7,0
240,1520598979129985,992,7,0
241,1520598979131000,992,7,0
242,1520598979132014,992,7,0
243,1520598979133028,992,7,0
244,1520598979134042,992,7,0
245,1520598979135057,992,7,0
246,1520598979136071,992,7,0
247,1520598979137085,992,7,0
248,1520598979138099,992,7,0
249,1520598979139113,992,7,0
250,1520598979140127,992,7,0
251,1520598979141142,992,7,0
252,1520598979142156,992,7,0
253,1520598979143170,992,7,0
254,1520598979144184,992,7,0
255,1520598979145199,992,7,0
256,1520598979146213,992,7,0
257,1520598979147229,980,19,0
258,1520598979148243,992,7,0
259,1520598979149257,992,7,0
260,1520598979150272,992,7,0
261,1520598979151286,992,7,0
262,1520598979152300,992,7,0
263,1520598979153315,992,7,0
264,1520598979154328,992,7,0
265,1520598979155343,992,7,0
266,1520598979156357,992,7,0
267,1520598979157379,992,7,0
268,1520598979158394,992,7,0
269,1520598979159408,992,7,0
270,1520598979160422,992,7,0
271,1520598979161436,992,7,0
272,1520598979162451,992,7,0
273,1520598979163465,992,7,0
274,1520598979164479,992,7,0
275,1520598979165493,992,7,0
276,1520598979166507,992,7,0
277,1520598979167521,992,7,0
278,1520598979168536,992,7,0
279,1520598979169549,992,7,0
280,1520598979170564,992,7,0
281,1520598979171578,992,7,0
282,1520598979172592,992,7,0
283,1520598979173606,992,7,0
284,1520598979174621,992,7,0
285,1520598979175635,992,7,0
286,1520598979176649,992,7,0
287,1520598979177663,992,7,0
288,1520598979178677,992,7,0
289,1520598979179691,992,7,0
290,1520598979180705,992,7,0
291,1520598979181719,992,7,0
292,1520598979182734,992,7,0
293,1520598979183748,992,7,0
294,1520598979184762,992,7,0
295,1520598979185777,981,18,0
296,1520598979186791,992,7,0
297,1520598979187805,992,7,0
298,1520598979188820,992,7,0
299,1520598979189834,992,7,0
300,1520598979190848,992,7,0
301,1520598979191862,992,7,0
302,1520598979192876,992,7,0
303,1520598979193890,992,7,0
304,1520598979194905,992,7,0
305,1520598979195919,992,7,0
306,1520598979196933,992,7,0
307,1520598979197947,992,7,0
308,1520598979198961,992,7,0
309,1520598979199975,992,7,0
310,1520598979200990,992,7,0
311,1520598979202004,992,7,0
312,1520598979203018,992,7,0
313,1520598979204032,992,7,0
314,1520598979205047,992,7,0
315,1520598979206061,992,7,0
316,1520598979207075,992,7,0
317,1520598979208089,992,7,0
318,1520598979209104,992,7,0
319,1520598979210118,992,7,0
320,1520598979211132,992,7,0
321,1520598979212147,992,7,0
322,1520598979213161,992,7,0
