time,clock,sleep,execute,overrun,type
1520599966461737,1000,0,0,0,0
1520599966461774,1000,0,0,0,1
1520599966461776,1000,0,0,0,2
1520599966461778,1000,0,0,0,3
1520599966461789,1000,0,0,0,4
1520599966462784,1000,946,53,0,0
1520599966462832,1000,946,53,0,1
1520599966462834,1000,946,53,0,2
1520599966462834,1000,946,53,0,3
1520599966462839,1000,946,53,0,4
1520599966463803,1000,944,55,0,0
1520599966463841,1000,944,55,0,1
1520599966463841,1000,944,55,0,2
1520599966463842,1000,944,55,0,3
1520599966463856,1000,944,55,0,4
1520599966464821,1000,946,53,0,0
1520599966464854,1000,946,53,0,1
1520599966464858,1000,946,53,0,2
1520599966464859,1000,946,53,0,3
1520599966464883,1000,946,53,0,4
1520599966465838,1000,937,62,0,0
1520599966465874,1000,937,62,0,1
1520599966465874,1000,937,62,0,2
1520599966465875,1000,937,62,0,3
1520599966465922,1000,937,62,0,4
1520599966466856,1000,915,84,0,0
1520599966466888,1000,915,84,0,1
1520599966466941,1000,915,84,0,2
1520599966466942,1000,915,84,0,3
1520599966466962,1000,915,84,0,4
1520599966467926,1000,893,106,0,0
1520599966468039,1000,893,106,0,1
1520599966468086,1000,893,106,0,2
1520599966468092,1000,893,106,0,3
1520599966468101,1000,893,106,0,4
1520599966468944,1000,823,176,0,0
1520599966468989,1000,823,176,0,1
1520599966469020,1000,823,176,0,2
1520599966469020,1000,823,176,0,3
1520599966469027,1000,823,176,0,4
1520599966469965,1000,916,83,0,0
1520599966470008,1000,916,83,0,1
1520599966470028,1000,916,83,0,2
1520599966470029,1000,916,83,0,3
1520599966470035,1000,916,83,0,4
1520599966470985,1000,929,70,0,0
1520599966471030,1000,929,70,0,1
1520599966471050,1000,929,70,0,2
1520599966471051,1000,929,70,0,3
1520599966471068,1000,929,70,0,4
1520599966472005,1000,916,83,0,0
1520599966472049,1000,916,83,0,1
1520599966472074,1000,916,83,0,2
1520599966472084,1000,916,83,0,3
1520599966472143,1000,916,83,0,4
1520599966473024,1000,861,138,0,0
1520599966473140,1000,861,138,0,1
1520599966473178,1000,861,138,0,2
1520599966473182,1000,861,138,0,3
1520599966473184,1000,861,138,0,4
1520599966474042,1000,838,161,0,0
1520599966474133,1000,838,161,0,1
1520599966474156,1000,838,161,0,2
1520599966474187,1000,838,161,0,3
1520599966474188,1000,838,161,0,4
1520599966475060,1000,835,164,0,0
1520599966475149,1000,835,164,0,1
1520599966475171,1000,835,164,0,2
1520599966475185,1000,835,164,0,3
1520599966475186,1000,835,164,0,4
1520599966476077,1000,874,125,0,0
1520599966476164,1000,874,125,0,1
1520599966476184,1000,874,125,0,2
1520599966476197,1000,874,125,0,3
1520599966476198,1000,874,125,0,4
1520599966477092,1000,878,121,0,0
1520599966477179,1000,878,121,0,1
1520599966477199,1000,878,121,0,2
1520599966477212,1000,878,121,0,3
1520599966477213,1000,878,121,0,4
1520599966478108,1000,878,121,0,0
1520599966478200,1000,878,121,0,1
1520599966478242,1000,878,121,0,2
1520599966478254,1000,878,121,0,3
1520599966478259,1000,878,121,0,4
1520599966479125,1000,848,151,0,0
1520599966479213,1000,848,151,0,1
1520599966479233,1000,848,151,0,2
1520599966479246,1000,848,151,0,3
1520599966479271,1000,848,151,0,4
1520599966480143,1000,854,145,0,0
1520599966480232,1000,854,145,0,1
1520599966480254,1000,854,145,0,2
1520599966480268,1000,854,145,0,3
1520599966480279,1000,854,145,0,4
1520599966481159,1000,863,136,0,0
1520599966481247,1000,863,136,0,1
1520599966481269,1000,863,136,0,2
1520599966481283,1000,863,136,0,3
1520599966481290,1000,863,136,0,4
1520599966482176,1000,868,131,0,0
1520599966482263,1000,868,131,0,1
1520599966482283,1000,868,131,0,2
1520599966482297,1000,868,131,0,3
1520599966482361,1000,868,131,0,4
1520599966483194,1000,814,185,0,0
1520599966483282,1000,814,185,0,1
1520599966483304,1000,814,185,0,2
1520599966483317,1000,814,185,0,3
1520599966483336,1000,814,185,0,4
1520599966484246,1000,858,141,0,0
1520599966484362,1000,858,141,0,1
1520599966484440,1000,858,141,0,2
1520599966484457,1000,858,141,0,3
1520599966484467,1000,858,141,0,4
1520599966485264,1000,779,220,0,0
1520599966485359,1000,779,220,0,1
1520599966485387,1000,779,220,0,2
1520599966485404,1000,779,220,0,3
1520599966485423,1000,779,220,0,4
1520599966486284,1000,840,159,0,0
1520599966486376,1000,840,159,0,1
1520599966486401,1000,840,159,0,2
1520599966486419,1000,840,159,0,3
1520599966486523,1000,840,159,0,4
1520599966487307,1000,760,239,0,0
1520599966487601,1000,760,239,0,1
1520599966487677,1000,760,239,0,2
1520599966487708,1000,760,239,0,3
1520599966487750,1000,760,239,0,4
1520599966488329,1000,555,444,0,0
1520599966488616,1000,555,444,0,1
1520599966488664,1000,555,444,0,2
1520599966488683,1000,555,444,0,3
1520599966488685,1000,555,444,0,4
1520599966489346,1000,643,356,0,0
1520599966489621,1000,643,356,0,1
1520599966489745,1000,643,356,0,2
1520599966489780,1000,643,356,0,3
1520599966489782,1000,643,356,0,4
1520599966490366,1000,563,436,0,0
1520599966490639,1000,563,436,0,1
1520599966490717,1000,563,436,0,2
1520599966490743,1000,563,436,0,3
1520599966490744,1000,563,436,0,4
1520599966491385,1000,604,395,0,0
1520599966491657,1000,604,395,0,1
1520599966491695,1000,604,395,0,2
1520599966491719,1000,604,395,0,3
1520599966491720,1000,604,395,0,4
1520599966492403,1000,664,335,0,0
1520599966492672,1000,664,335,0,1
1520599966492724,1000,664,335,0,2
1520599966492748,1000,664,335,0,3
1520599966492749,1000,664,335,0,4
1520599966493420,1000,653,346,0,0
1520599966493691,1000,653,346,0,1
1520599966493728,1000,653,346,0,2
1520599966493752,1000,653,346,0,3
1520599966493753,1000,653,346,0,4
1520599966494438,1000,666,333,0,0
1520599966494707,1000,666,333,0,1
1520599966494782,1000,666,333,0,2
1520599966494808,1000,666,333,0,3
1520599966494810,1000,666,333,0,4
1520599966495456,1000,627,372,0,0
1520599966495727,1000,627,372,0,1
1520599966495763,1000,627,372,0,2
1520599966495787,1000,627,372,0,3
1520599966495789,1000,627,372,0,4
1520599966496473,1000,666,333,0,0
1520599966496743,1000,666,333,0,1
1520599966496779,1000,666,333,0,2
1520599966496803,1000,666,333,0,3
1520599966496804,1000,666,333,0,4
1520599966497490,1000,669,330,0,0
1520599966497760,1000,669,330,0,1
1520599966497796,1000,669,330,0,2
1520599966497819,1000,669,330,0,3
1520599966497821,1000,669,330,0,4
1520599966498507,1000,668,331,0,0
1520599966498776,1000,668,331,0,1
1520599966498811,1000,668,331,0,2
1520599966498834,1000,668,331,0,3
1520599966498836,1000,668,331,0,4
1520599966499524,1000,670,329,0,0
1520599966499795,1000,670,329,0,1
1520599966499870,1000,670,329,0,2
1520599966499896,1000,670,329,0,3
1520599966499897,1000,670,329,0,4
1520599966500543,1000,626,373,0,0
1520599966500813,1000,626,373,0,1
1520599966500849,1000,626,373,0,2
1520599966500873,1000,626,373,0,3
1520599966500874,1000,626,373,0,4
1520599966501559,1000,668,331,0,0
1520599966501830,1000,668,331,0,1
1520599966501868,1000,668,331,0,2
1520599966501892,1000,668,331,0,3
1520599966501894,1000,668,331,0,4
1520599966502576,1000,664,335,0,0
1520599966502846,1000,664,335,0,1
1520599966502881,1000,664,335,0,2
1520599966502905,1000,664,335,0,3
1520599966502906,1000,664,335,0,4
1520599966503594,1000,669,330,0,0
1520599966503863,1000,669,330,0,1
1520599966503898,1000,669,330,0,2
1520599966503922,1000,669,330,0,3
1520599966503924,1000,669,330,0,4
1520599966504611,1000,669,330,0,0
1520599966504881,1000,669,330,0,1
1520599966504974,1000,669,330,0,2
1520599966505000,1000,669,330,0,3
1520599966505002,1000,669,330,0,4
1520599966505629,1000,609,390,0,0
1520599966505901,1000,609,390,0,1
1520599966505939,1000,609,390,0,2
1520599966505963,1000,609,390,0,3
1520599966505964,1000,609,390,0,4
1520599966506647,1000,664,335,0,0
1520599966506917,1000,664,335,0,1
1520599966506952,1000,664,335,0,2
1520599966506975,1000,664,335,0,3
1520599966506976,1000,664,335,0,4
1520599966507665,1000,670,329,0,0
1520599966507934,1000,670,329,0,1
1520599966507969,1000,670,329,0,2
1520599966507993,1000,670,329,0,3
1520599966507994,1000,670,329,0,4
1520599966508682,1000,670,329,0,0
1520599966508973,1000,670,329,0,1
