time,last,diff,position,thrust,set,loop,update
1520599542439718,0,1520599542439718,0.0,0.0,0.0,0,false
1520599542440738,0,1520599542440738,0.0,0.0,0.0,1,false
1520599542441766,0,1520599542441766,0.0,0.0,0.0,2,false
1520599542442765,0,1520599542442765,0.0,0.0,0.0,3,false
1520599542443783,0,1520599542443783,0.0,0.0,0.0,4,false
1520599542444798,0,1520599542444798,0.0,0.0,0.0,5,false
1520599542445835,0,1520599542445835,0.0,0.0,0.0,6,false
1520599542446834,0,1520599542446834,0.0,0.0,0.0,7,false
1520599542447851,0,1520599542447851,0.0,0.0,0.0,8,false
1520599542448868,0,1520599542448868,0.0,0.0,0.0,9,false
1520599542449885,0,1520599542449885,0.0,0.0,0.0,10,false
1520599542450902,0,1520599542450902,0.0,0.0,0.0,11,false
1520599542451920,0,1520599542451920,0.0,0.0,0.0,12,false
1520599542452954,0,1520599542452954,0.0,0.0,0.0,13,false
1520599542453954,0,1520599542453954,0.0,0.0,0.0,14,false
1520599542454971,0,1520599542454971,0.0,0.0,0.0,15,false
1520599542455990,0,1520599542455990,0.0,0.0,0.0,16,false
1520599542457014,0,1520599542457014,0.0,0.0,0.0,17,false
1520599542458021,0,1520599542458021,0.0,0.0,0.0,18,false
1520599542459038,0,1520599542459038,0.0,0.0,0.0,19,false
1520599542460056,0,1520599542460056,0.0,0.0,0.0,20,false
1520599542461086,0,1520599542461086,0.0,0.0,0.0,21,false
1520599542462101,0,1520599542462101,0.0,0.0,0.0,22,false
1520599542463118,0,1520599542463118,0.0,0.0,0.0,23,false
1520599542464136,0,1520599542464136,0.0,0.0,0.0,24,false
1520599542465152,0,1520599542465152,0.0,0.0,0.0,25,false
1520599542466168,0,1520599542466168,0.0,0.0,0.0,26,false
1520599542467187,0,1520599542467187,0.0,0.0,0.0,27,false
1520599542468204,0,1520599542468204,0.0,0.0,0.0,28,false
1520599542469221,0,1520599542469221,0.0,0.0,0.0,29,false
1520599542470238,0,1520599542470238,0.0,0.0,0.0,30,false
1520599542471255,0,1520599542471255,0.0,0.0,0.0,31,false
1520599542472273,0,1520599542472273,0.0,0.0,0.0,32,false
1520599542473289,0,1520599542473289,0.0,0.0,0.0,33,false
1520599542474306,0,1520599542474306,0.0,0.0,0.0,34,false
1520599542475323,0,1520599542475323,0.0,0.0,0.0,35,false
1520599542476340,0,1520599542476340,0.0,0.0,0.0,36,false
1520599542477357,0,1520599542477357,0.0,0.0,0.0,37,false
1520599542478374,0,1520599542478374,0.0,0.0,0.0,38,false
1520599542479391,0,1520599542479391,0.0,0.0,0.0,39,false
1520599542480408,0,1520599542480408,0.0,0.0,0.0,40,false
1520599542481425,0,1520599542481425,0.0,0.0,0.0,41,false
1520599542482442,0,1520599542482442,0.0,0.0,0.0,42,false
1520599542483459,0,1520599542483459,0.0,0.0,0.0,43,false
1520599542484476,0,1520599542484476,0.0,0.0,0.0,44,false
1520599542485493,0,1520599542485493,0.0,0.0,0.0,45,false
1520599542486510,0,1520599542486510,0.0,0.0,0.0,46,false
1520599542487528,0,1520599542487528,0.0,0.0,0.0,47,false
1520599542488545,0,1520599542488545,0.0,0.0,0.0,48,false
1520599542489561,0,1520599542489561,0.0,0.0,0.0,49,false
1520599542490580,0,1520599542490580,0.0,0.0,0.0,50,false
1520599542491596,0,1520599542491596,0.0,0.0,0.0,51,false
1520599542492613,0,1520599542492613,0.0,0.0,0.0,52,false
1520599542493631,0,1520599542493631,0.0,0.0,0.0,53,false
1520599542494649,0,1520599542494649,0.0,0.0,0.0,54,false
1520599542495665,0,1520599542495665,0.0,0.0,0.0,55,false
1520599542496682,0,1520599542496682,0.0,0.0,0.0,56,false
1520599542497700,0,1520599542497700,0.0,0.0,0.0,57,false
1520599542498718,0,1520599542498718,0.0,0.0,0.0,58,false
1520599542499735,0,1520599542499735,0.0,0.0,0.0,59,false
1520599542500753,0,1520599542500753,0.0,0.0,0.0,60,false
1520599542501772,0,1520599542501772,0.0,0.0,0.0,61,false
1520599542502787,0,1520599542502787,0.0,0.0,0.0,62,false
1520599542503804,0,1520599542503804,0.0,0.0,0.0,63,false
1520599542504823,0,1520599542504823,0.0,0.0,0.0,64,false
1520599542505839,0,1520599542505839,0.0,0.0,0.0,65,false
1520599542506855,0,1520599542506855,0.0,0.0,0.0,66,false
1520599542507873,0,1520599542507873,0.0,0.0,0.0,67,false
1520599542508891,0,1520599542508891,0.0,0.0,0.0,68,false
1520599542509908,0,1520599542509908,0.0,0.0,0.0,69,false
1520599542510925,0,1520599542510925,0.0,0.0,0.0,70,false
1520599542511942,0,1520599542511942,0.0,0.0,0.0,71,false
1520599542512969,0,1520599542512969,0.0,0.0,0.0,72,false
1520599542513976,0,1520599542513976,0.0,0.0,0.0,73,false
1520599542514994,0,1520599542514994,0.0,0.0,0.0,74,false
1520599542516011,0,1520599542516011,0.0,0.0,0.0,75,false
1520599542517029,0,1520599542517029,0.0,0.0,0.0,76,false
1520599542518047,0,1520599542518047,0.0,0.0,0.0,77,false
1520599542519062,0,1520599542519062,0.0,0.0,0.0,78,false
1520599542520080,0,1520599542520080,0.0,0.0,0.0,79,false
1520599542521097,0,1520599542521097,0.0,0.0,0.0,80,false
1520599542522114,0,1520599542522114,0.0,0.0,0.0,81,false
1520599542523131,0,1520599542523131,0.0,0.0,0.0,82,false
1520599542524148,0,1520599542524148,0.0,0.0,0.0,83,false
1520599542525164,0,1520599542525164,0.0,0.0,0.0,84,false
1520599542526181,0,1520599542526181,0.0,0.0,0.0,85,false
1520599542527198,0,1520599542527198,0.0,0.0,0.0,86,false
1520599542528215,0,1520599542528215,0.0,0.0,0.0,87,false
1520599542529232,0,1520599542529232,0.0,0.0,0.0,88,false
1520599542530249,0,1520599542530249,0.0,0.0,0.0,89,false
1520599542531266,0,1520599542531266,0.0,0.0,0.0,90,false
1520599542532284,0,1520599542532284,0.0,0.0,0.0,91,false
1520599542533300,0,1520599542533300,0.0,0.0,0.0,92,false
1520599542534317,0,1520599542534317,0.0,0.0,0.0,93,false
1520599542535334,0,1520599542535334,0.0,0.0,0.0,94,false
1520599542536352,0,1520599542536352,0.0,0.0,0.0,95,false
1520599542537371,0,1520599542537371,0.0,0.0,0.0,96,false
1520599542538387,0,1520599542538387,0.0,0.0,0.0,97,false
1520599542539404,0,1520599542539404,0.0,0.0,0.0,98,false
1520599542540421,0,1520599542540421,0.0,0.0,0.0,99,false
1520599542541438,0,1520599542541438,0.0,0.0,0.0,100,false
1520599542542455,0,1520599542542455,0.0,0.0,0.0,101,false
1520599542543472,0,1520599542543472,0.0,0.0,0.0,102,false
1520599542544490,0,1520599542544490,0.0,0.0,0.0,103,false
1520599542545507,0,1520599542545507,0.0,0.0,0.0,104,false
1520599542546523,0,1520599542546523,0.0,0.0,0.0,105,false
1520599542547540,0,1520599542547540,0.0,0.0,0.0,106,false
1520599542548558,0,1520599542548558,0.0,0.0,0.0,107,false
1520599542549576,0,1520599542549576,0.0,0.0,0.0,108,false
1520599542550594,0,1520599542550594,0.0,0.0,0.0,109,false
1520599542551610,0,1520599542551610,0.0,0.0,0.0,110,false
1520599542552628,0,1520599542552628,0.0,0.0,0.0,111,false
1520599542553646,0,1520599542553646,0.0,0.0,0.0,112,false
1520599542554662,0,1520599542554662,0.0,0.0,0.0,113,false
1520599542555680,0,1520599542555680,0.0,0.0,0.0,114,false
1520599542556697,0,1520599542556697,0.0,0.0,0.0,115,false
1520599542557714,0,1520599542557714,0.0,0.0,0.0,116,false
1520599542558732,0,1520599542558732,0.0,0.0,0.0,117,false
1520599542559749,0,1520599542559749,0.0,0.0,0.0,118,false
1520599542560767,0,1520599542560767,0.0,0.0,0.0,119,false
1520599542561784,0,1520599542561784,0.0,0.0,0.0,120,false
1520599542562801,0,1520599542562801,0.0,0.0,0.0,121,false
1520599542563818,0,1520599542563818,0.0,0.0,0.0,122,false
1520599542564836,0,1520599542564836,0.0,0.0,0.0,123,false
1520599542565854,0,1520599542565854,0.0,0.0,0.0,124,false
1520599542566871,0,1520599542566871,0.0,0.0,0.0,125,false
1520599542567888,0,1520599542567888,0.0,0.0,0.0,126,false
1520599542568906,0,1520599542568906,0.0,0.0,0.0,127,false
1520599542569924,0,1520599542569924,0.0,0.0,0.0,128,false
1520599542570941,0,1520599542570941,0.0,0.0,0.0,129,false
1520599542571958,0,1520599542571958,0.0,0.0,0.0,130,false
1520599542572986,0,1520599542572986,0.0,0.0,0.0,131,false
1520599542573992,0,1520599542573992,0.0,0.0,0.0,132,false
1520599542575011,0,1520599542575011,0.0,0.0,0.0,133,false
