time,clock,sleep,execute,overrun,type
1520599537328303,1000,0,0,0,0
1520599537328338,1000,0,0,0,1
1520599537328340,1000,0,0,0,2
1520599537328342,1000,0,0,0,3
1520599537328354,1000,0,0,0,4
1520599537329347,1000,947,52,0,0
1520599537329396,1000,947,52,0,1
1520599537329397,1000,947,52,0,2
1520599537329398,1000,947,52,0,3
1520599537329402,1000,947,52,0,4
1520599537330368,1000,944,55,0,0
1520599537330404,1000,944,55,0,1
1520599537330405,1000,944,55,0,2
1520599537330406,1000,944,55,0,3
1520599537330420,1000,944,55,0,4
1520599537331386,1000,947,52,0,0
1520599537331420,1000,947,52,0,1
1520599537331424,1000,947,52,0,2
1520599537331425,1000,947,52,0,3
1520599537331448,1000,947,52,0,4
1520599537332405,1000,937,62,0,0
1520599537332438,1000,937,62,0,1
1520599537332438,1000,937,62,0,2
1520599537332439,1000,937,62,0,3
1520599537332487,1000,937,62,0,4
1520599537333421,1000,917,82,0,0
1520599537333456,1000,917,82,0,1
1520599537333469,1000,917,82,0,2
1520599537333470,1000,917,82,0,3
1520599537333492,1000,917,82,0,4
1520599537334480,1000,928,71,0,0
1520599537334585,1000,928,71,0,1
1520599537334596,1000,928,71,0,2
1520599537334605,1000,928,71,0,3
1520599537334645,1000,928,71,0,4
1520599537335502,1000,833,166,0,0
1520599537335543,1000,833,166,0,1
1520599537335552,1000,833,166,0,2
1520599537335553,1000,833,166,0,3
1520599537335560,1000,833,166,0,4
1520599537336521,1000,940,59,0,0
1520599537336563,1000,940,59,0,1
1520599537336572,1000,940,59,0,2
1520599537336573,1000,940,59,0,3
1520599537336580,1000,940,59,0,4
1520599537337537,1000,939,60,0,0
1520599537337580,1000,939,60,0,1
1520599537337589,1000,939,60,0,2
1520599537337590,1000,939,60,0,3
1520599537337598,1000,939,60,0,4
1520599537338557,1000,938,61,0,0
1520599537338596,1000,938,61,0,1
1520599537338604,1000,938,61,0,2
1520599537338605,1000,938,61,0,3
1520599537338623,1000,938,61,0,4
1520599537339580,1000,933,66,0,0
1520599537339638,1000,933,66,0,1
1520599537339649,1000,933,66,0,2
1520599537339660,1000,933,66,0,3
1520599537339720,1000,933,66,0,4
1520599537340601,1000,858,141,0,0
1520599537340719,1000,858,141,0,1
1520599537340734,1000,858,141,0,2
1520599537340738,1000,858,141,0,3
1520599537340740,1000,858,141,0,4
1520599537341616,1000,841,158,0,0
1520599537341708,1000,841,158,0,1
1520599537341721,1000,841,158,0,2
1520599537341755,1000,841,158,0,3
1520599537341756,1000,841,158,0,4
1520599537342633,1000,860,139,0,0
1520599537342719,1000,860,139,0,1
1520599537342730,1000,860,139,0,2
1520599537342746,1000,860,139,0,3
1520599537342747,1000,860,139,0,4
1520599537343649,1000,885,114,0,0
1520599537343735,1000,885,114,0,1
1520599537343746,1000,885,114,0,2
1520599537343760,1000,885,114,0,3
1520599537343761,1000,885,114,0,4
1520599537344665,1000,886,113,0,0
1520599537344751,1000,886,113,0,1
1520599537344762,1000,886,113,0,2
1520599537344776,1000,886,113,0,3
1520599537344777,1000,886,113,0,4
1520599537345680,1000,886,113,0,0
1520599537345769,1000,886,113,0,1
1520599537345780,1000,886,113,0,2
1520599537345796,1000,886,113,0,3
1520599537345797,1000,886,113,0,4
1520599537346696,1000,883,116,0,0
1520599537346782,1000,883,116,0,1
1520599537346793,1000,883,116,0,2
1520599537346807,1000,883,116,0,3
1520599537346808,1000,883,116,0,4
1520599537347712,1000,887,112,0,0
1520599537347798,1000,887,112,0,1
1520599537347810,1000,887,112,0,2
1520599537347824,1000,887,112,0,3
1520599537347825,1000,887,112,0,4
1520599537348728,1000,886,113,0,0
1520599537348814,1000,886,113,0,1
1520599537348825,1000,886,113,0,2
1520599537348839,1000,886,113,0,3
1520599537348840,1000,886,113,0,4
