time,sleep,execute,overrun,type
1520599144643329,0,0,0,0
1520599144643396,0,0,0,1
1520599144643399,0,0,0,2
1520599144644177,0,0,0,3
1520599144644177,0,0,0,4
1520599144645373,1148,851,0,0
1520599144645409,1148,851,0,1
1520599144645409,1148,851,0,2
1520599144645420,1148,851,0,3
1520599144645422,1148,851,0,4
1520599144647392,1950,49,0,0
1520599144647419,1950,49,0,1
1520599144647420,1950,49,0,2
1520599144647431,1950,49,0,3
1520599144647432,1950,49,0,4
1520599144649409,1959,40,0,0
1520599144649436,1959,40,0,1
1520599144649459,1959,40,0,2
1520599144649481,1959,40,0,3
1520599144649481,1959,40,0,4
1520599144651452,1927,72,0,0
1520599144651504,1927,72,0,1
1520599144651514,1927,72,0,2
1520599144651600,1927,72,0,3
1520599144651600,1927,72,0,4
1520599144653473,1851,148,0,0
1520599144653520,1851,148,0,1
1520599144653531,1851,148,0,2
1520599144653567,1851,148,0,3
1520599144653567,1851,148,0,4
1520599144655498,1905,94,0,0
1520599144655532,1905,94,0,1
1520599144655540,1905,94,0,2
1520599144655580,1905,94,0,3
1520599144655580,1905,94,0,4
1520599144657516,1917,82,0,0
1520599144657544,1917,82,0,1
1520599144657556,1917,82,0,2
1520599144657574,1917,82,0,3
1520599144657574,1917,82,0,4
1520599144659535,1941,58,0,0
1520599144659696,1941,58,0,1
1520599144659705,1941,58,0,2
1520599144659706,1941,58,0,3
1520599144659706,1941,58,0,4
1520599144661552,1828,171,0,0
1520599144661654,1828,171,0,1
1520599144661663,1828,171,0,2
1520599144661663,1828,171,0,3
1520599144661664,1828,171,0,4
1520599144663569,1888,112,0,0
1520599144663680,1888,112,0,1
1520599144663689,1888,112,0,2
1520599144663689,1888,112,0,3
1520599144663689,1888,112,0,4
1520599144665585,1879,120,0,0
1520599144665683,1879,120,0,1
1520599144665691,1879,120,0,2
1520599144665692,1879,120,0,3
1520599144665692,1879,120,0,4
1520599144667602,1892,107,0,0
1520599144667706,1892,107,0,1
1520599144667715,1892,107,0,2
1520599144667715,1892,107,0,3
1520599144667715,1892,107,0,4
1520599144669619,1867,132,0,0
1520599144669724,1867,132,0,1
1520599144669733,1867,132,0,2
1520599144669734,1867,132,0,3
1520599144669734,1867,132,0,4
1520599144671636,1884,115,0,0
1520599144671734,1884,115,0,1
1520599144671742,1884,115,0,2
1520599144671743,1884,115,0,3
1520599144671743,1884,115,0,4
1520599144673651,1892,107,0,0
1520599144673748,1892,107,0,1
1520599144673756,1892,107,0,2
1520599144673757,1892,107,0,3
1520599144673757,1892,107,0,4
1520599144675668,1893,106,0,0
1520599144675766,1893,106,0,1
1520599144675775,1893,106,0,2
1520599144675775,1893,106,0,3
1520599144675775,1893,106,0,4
1520599144677684,1891,108,0,0
1520599144677781,1891,108,0,1
1520599144677789,1891,108,0,2
1520599144677790,1891,108,0,3
1520599144677790,1891,108,0,4
1520599144679700,1893,106,0,0
1520599144679794,1893,106,0,1
1520599144679802,1893,106,0,2
1520599144679803,1893,106,0,3
1520599144679803,1893,106,0,4
1520599144681715,1896,103,0,0
1520599144681811,1896,103,0,1
1520599144681819,1896,103,0,2
1520599144681820,1896,103,0,3
1520599144681820,1896,103,0,4
1520599144683732,1894,105,0,0
1520599144683825,1894,105,0,1
1520599144683834,1894,105,0,2
1520599144683834,1894,105,0,3
1520599144683835,1894,105,0,4
1520599144685747,1896,103,0,0
1520599144685856,1896,103,0,1
1520599144685864,1896,103,0,2
1520599144685865,1896,103,0,3
1520599144685865,1896,103,0,4
1520599144687763,1881,118,0,0
1520599144687862,1881,118,0,1
1520599144687870,1881,118,0,2
1520599144687871,1881,118,0,3
1520599144687871,1881,118,0,4
1520599144689779,1891,108,0,0
1520599144689887,1891,108,0,1
1520599144689896,1891,108,0,2
1520599144689897,1891,108,0,3
1520599144689897,1891,108,0,4
1520599144691795,1881,118,0,0
1520599144691895,1881,118,0,1
1520599144691904,1881,118,0,2
1520599144691905,1881,118,0,3
1520599144691905,1881,118,0,4
1520599144693811,1889,110,0,0
1520599144693907,1889,110,0,1
1520599144693915,1889,110,0,2
1520599144693916,1889,110,0,3
1520599144693931,1889,110,0,4
1520599144695829,1879,120,0,0
1520599144695925,1879,120,0,1
1520599144695934,1879,120,0,2
1520599144695934,1879,120,0,3
1520599144695935,1879,120,0,4
1520599144697844,1893,106,0,0
1520599144697940,1893,106,0,1
1520599144697949,1893,106,0,2
1520599144697949,1893,106,0,3
1520599144697950,1893,106,0,4
1520599144699861,1894,105,0,0
1520599144699956,1894,105,0,1
1520599144699965,1894,105,0,2
1520599144699966,1894,105,0,3
1520599144699966,1894,105,0,4
1520599144701876,1894,105,0,0
1520599144701972,1894,105,0,1
1520599144701980,1894,105,0,2
1520599144701981,1894,105,0,3
1520599144701981,1894,105,0,4
1520599144703892,1894,105,0,0
1520599144703989,1894,105,0,1
1520599144703997,1894,105,0,2
1520599144703997,1894,105,0,3
1520599144703998,1894,105,0,4
1520599144705907,1893,106,0,0
1520599144706005,1893,106,0,1
1520599144706014,1893,106,0,2
1520599144706014,1893,106,0,3
1520599144706014,1893,106,0,4
1520599144707924,1892,107,0,0
1520599144708020,1892,107,0,1
1520599144708028,1892,107,0,2
1520599144708029,1892,107,0,3
1520599144708029,1892,107,0,4
1520599144709939,1894,105,0,0
1520599144710034,1894,105,0,1
1520599144710043,1894,105,0,2
1520599144710043,1894,105,0,3
1520599144710044,1894,105,0,4
1520599144711956,1894,105,0,0
1520599144712052,1894,105,0,1
1520599144712060,1894,105,0,2
1520599144712061,1894,105,0,3
1520599144712061,1894,105,0,4
1520599144713971,1894,105,0,0
1520599144714067,1894,105,0,1
1520599144714075,1894,105,0,2
1520599144714076,1894,105,0,3
1520599144714076,1894,105,0,4
1520599144715987,1894,105,0,0
1520599144716095,1894,105,0,1
1520599144716103,1894,105,0,2
1520599144716104,1894,105,0,3
1520599144716104,1894,105,0,4
1520599144718003,1882,117,0,0
1520599144718100,1882,117,0,1
1520599144718109,1882,117,0,2
1520599144718109,1882,117,0,3
1520599144718110,1882,117,0,4
1520599144720019,1892,107,0,0
1520599144720116,1892,107,0,1
1520599144720125,1892,107,0,2
1520599144720125,1892,107,0,3
1520599144720126,1892,107,0,4
1520599144722035,1893,106,0,0
1520599144722131,1893,106,0,1
1520599144722140,1893,106,0,2
1520599144722140,1893,106,0,3
1520599144722140,1893,106,0,4
1520599144724051,1893,106,0,0
1520599144724164,1893,106,0,1
1520599144724172,1893,106,0,2
1520599144724173,1893,106,0,3
1520599144724173,1893,106,0,4
1520599144726067,1877,122,0,0
1520599144726176,1877,122,0,1
1520599144726184,1877,122,0,2
1520599144726185,1877,122,0,3
1520599144726185,1877,122,0,4
1520599144728083,1881,118,0,0
1520599144728179,1881,118,0,1
1520599144728187,1881,118,0,2
1520599144728188,1881,118,0,3
1520599144728188,1881,118,0,4
1520599144730099,1894,105,0,0
1520599144730194,1894,105,0,1
1520599144730203,1894,105,0,2
1520599144730203,1894,105,0,3
1520599144730204,1894,105,0,4
1520599144732115,1894,105,0,0
1520599144732209,1894,105,0,1
1520599144732217,1894,105,0,2
1520599144732218,1894,105,0,3
1520599144732218,1894,105,0,4
1520599144734131,1896,103,0,0
1520599144734226,1896,103,0,1
1520599144734234,1896,103,0,2
1520599144734235,1896,103,0,3
1520599144734235,1896,103,0,4
1520599144736147,1895,104,0,0
1520599144736243,1895,104,0,1
1520599144736252,1895,104,0,2
1520599144736253,1895,104,0,3
1520599144736253,1895,104,0,4
1520599144738162,1893,106,0,0
1520599144738258,1893,106,0,1
1520599144738267,1893,106,0,2
1520599144738268,1893,106,0,3
1520599144738268,1893,106,0,4
1520599144740179,1894,105,0,0
1520599144740274,1894,105,0,1
1520599144740282,1894,105,0,2
1520599144740283,1894,105,0,3
1520599144740283,1894,105,0,4
1520599144742194,1895,104,0,0
1520599144742291,1895,104,0,1
1520599144742300,1895,104,0,2
1520599144742301,1895,104,0,3
1520599144742301,1895,104,0,4
1520599144744211,1893,106,0,0
1520599144744305,1893,106,0,1
1520599144744313,1893,106,0,2
1520599144744314,1893,106,0,3
1520599144744314,1893,106,0,4
1520599144746226,1896,103,0,0
1520599144746322,1896,103,0,1
1520599144746339,1896,103,0,2
1520599144746340,1896,103,0,3
1520599144746340,1896,103,0,4
1520599144748243,1885,114,0,0
1520599144748340,1885,114,0,1
1520599144748349,1885,114,0,2
1520599144748349,1885,114,0,3
1520599144748350,1885,114,0,4
1520599144750259,1893,106,0,0
1520599144750357,1893,106,0,1
1520599144750366,1893,106,0,2
1520599144750366,1893,106,0,3
1520599144750366,1893,106,0,4
1520599144752275,1891,108,0,0
1520599144752371,1891,108,0,1
1520599144752380,1891,108,0,2
1520599144752380,1891,108,0,3
1520599144752380,1891,108,0,4
1520599144754291,1894,105,0,0
1520599144754388,1894,105,0,1
1520599144754397,1894,105,0,2
1520599144754397,1894,105,0,3
1520599144754397,1894,105,0,4
1520599144756307,1892,107,0,0
1520599144756400,1892,107,0,1
1520599144756409,1892,107,0,2
1520599144756409,1892,107,0,3
1520599144756410,1892,107,0,4
1520599144758322,1896,103,0,0
1520599144758417,1896,103,0,1
1520599144758426,1896,103,0,2
1520599144758437,1896,103,0,3
1520599144758438,1896,103,0,4
1520599144760340,1884,115,0,0
1520599144760435,1884,115,0,1
1520599144760444,1884,115,0,2
1520599144760444,1884,115,0,3
1520599144760445,1884,115,0,4
1520599144762355,1894,105,0,0
1520599144762451,1894,105,0,1
1520599144762460,1894,105,0,2
1520599144762460,1894,105,0,3
1520599144762461,1894,105,0,4
1520599144764372,1894,105,0,0
1520599144764465,1894,105,0,1
1520599144764474,1894,105,0,2
1520599144764474,1894,105,0,3
1520599144764475,1894,105,0,4
1520599144766386,1896,103,0,0
1520599144766482,1896,103,0,1
1520599144766490,1896,103,0,2
1520599144766491,1896,103,0,3
1520599144766491,1896,103,0,4
1520599144768403,1894,105,0,0
1520599144768499,1894,105,0,1
1520599144768508,1894,105,0,2
1520599144768508,1894,105,0,3
1520599144768508,1894,105,0,4
1520599144770418,1894,105,0,0
1520599144770514,1894,105,0,1
1520599144770522,1894,105,0,2
1520599144770523,1894,105,0,3
1520599144770523,1894,105,0,4
1520599144772434,1894,105,0,0
1520599144772529,1894,105,0,1
1520599144772537,1894,105,0,2
1520599144772538,1894,105,0,3
1520599144772538,1894,105,0,4
1520599144774450,1895,104,0,0
1520599144774545,1895,104,0,1
1520599144774554,1895,104,0,2
1520599144774555,1895,104,0,3
1520599144774555,1895,104,0,4
1520599144776466,1894,105,0,0
1520599144776560,1894,105,0,1
1520599144776569,1894,105,0,2
1520599144776569,1894,105,0,3
1520599144776569,1894,105,0,4
1520599144778482,1896,103,0,0
1520599144778576,1896,103,0,1
1520599144778585,1896,103,0,2
1520599144778585,1896,103,0,3
1520599144778586,1896,103,0,4
1520599144780498,1895,104,0,0
1520599144780592,1895,104,0,1
1520599144780601,1895,104,0,2
1520599144780601,1895,104,0,3
1520599144780602,1895,104,0,4
1520599144782513,1896,103,0,0
1520599144782609,1896,103,0,1
1520599144782617,1896,103,0,2
1520599144782618,1896,103,0,3
1520599144782618,1896,103,0,4
1520599144784530,1894,105,0,0
1520599144784626,1894,105,0,1
1520599144784635,1894,105,0,2
1520599144784635,1894,105,0,3
1520599144784636,1894,105,0,4
1520599144786545,1893,106,0,0
1520599144786643,1893,106,0,1
1520599144786652,1893,106,0,2
1520599144786652,1893,106,0,3
1520599144786652,1893,106,0,4
1520599144788562,1892,107,0,0
1520599144788668,1892,107,0,1
1520599144788676,1892,107,0,2
1520599144788677,1892,107,0,3
1520599144788677,1892,107,0,4
1520599144790577,1884,115,0,0
1520599144790676,1884,115,0,1
1520599144790684,1884,115,0,2
1520599144790685,1884,115,0,3
1520599144790685,1884,115,0,4
1520599144792594,1891,108,0,0
1520599144792688,1891,108,0,1
1520599144792697,1891,108,0,2
1520599144792697,1891,108,0,3
1520599144792698,1891,108,0,4
1520599144794609,1895,104,0,0
1520599144794706,1895,104,0,1
1520599144794714,1895,104,0,2
1520599144794715,1895,104,0,3
1520599144794715,1895,104,0,4
1520599144796625,1893,106,0,0
1520599144796721,1893,106,0,1
1520599144796730,1893,106,0,2
1520599144796730,1893,106,0,3
1520599144796730,1893,106,0,4
1520599144798641,1894,105,0,0
1520599144798738,1894,105,0,1
1520599144798746,1894,105,0,2
1520599144798747,1894,105,0,3
1520599144798747,1894,105,0,4
1520599144800657,1892,107,0,0
1520599144800753,1892,107,0,1
1520599144800761,1892,107,0,2
1520599144800762,1892,107,0,3
1520599144800762,1892,107,0,4
1520599144802672,1894,105,0,0
1520599144802768,1894,105,0,1
1520599144802777,1894,105,0,2
1520599144802777,1894,105,0,3
1520599144802777,1894,105,0,4
