time,core1,core2,core3,core4
000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,000000,000000,000000,000000
000007,000000,000000,000000,000000
000008,000000,000000,000000,000000
000009,000000,000000,000000,000000
000010,000000,000006,003120,000020
000011,872185,7786214,6123530,2164707
000012,13139746,16197795,16336671,12819919
000013,12844355,4550964,6309125,11837785
000014,5088964,3858890,3919615,5116057
000015,2070082,1546911,1296622,2082622
000016,1249839,1294719,1348258,1168806
000017,689447,701808,591656,767785
000018,034729,052548,042285,033844
000019,003684,005299,016028,003394
000020,001608,001751,005717,001739
000021,000902,000899,004166,000985
000022,000607,000511,001576,000544
000023,000505,000376,000509,000326
000024,000476,000286,000199,000198
000025,000478,000225,000101,000095
000026,000402,000188,000048,000072
000027,000338,000146,000038,000047
000028,000229,000094,000019,000025
000029,000140,000046,000010,000020
000030,000099,000037,000012,000013
000031,000070,000011,000006,000005
000032,000037,000011,000004,000012
000033,000022,000008,000001,000008
000034,000015,000005,000001,000002
000035,000012,000004,000001,000001
000036,000008,000001,000001,000003
000037,000009,000004,000000,000002
000038,000011,000003,000001,000000
000039,000004,000008,000000,000001
000040,000005,000001,000000,000001
000041,000006,000003,000000,000001
000042,000011,000002,000000,000001
000043,000009,000004,000000,000000
000044,000003,000003,000000,000000
000045,000011,000001,000000,000000
000046,000011,000004,000001,000000
000047,000007,000004,000000,000000
000048,000003,000001,000000,000000
000049,000009,000002,000000,000000
000050,000009,000002,000000,000000
000051,000011,000001,000000,000000
000052,000010,000000,000000,000000
000053,000010,000002,000000,000000
000054,000012,000000,000000,000000
000055,000012,000000,000000,000000
000056,000014,000000,000000,000000
000057,000004,000000,000000,000000
000058,000003,000000,000000,000000
000059,000007,000000,000000,000000
000060,000005,000000,000000,000001
000061,000004,000000,000000,000000
000062,000007,000000,000000,000000
000063,000008,000000,000000,000000
000064,000007,000000,000000,000000
000065,000005,000000,000000,000000
000066,000002,000001,000000,000000
000067,000004,000000,000000,000000
000068,000009,000000,000000,000000
000069,000001,000000,000000,000000
000070,000006,000000,000000,000000
000071,000009,000000,000000,000000
000072,000001,000000,000000,000000
000073,000013,000000,000000,000000
000074,000004,000000,000000,000000
000075,000005,000000,000000,000000
000076,000007,000000,000000,000000
000077,000012,000000,000000,000000
000078,000003,000000,000000,000000
000079,000004,000000,000000,000000
000080,000004,000000,000000,000000
000081,000003,000000,000000,000000
000082,000008,000000,000000,000000
000083,000002,000000,000000,000000
000084,000004,000000,000000,000000
000085,000003,000000,000000,000000
000086,000005,000000,000000,000000
000087,000005,000000,000000,000000
000088,000003,000000,000000,000000
000089,000001,000000,000000,000000
000090,000004,000000,000000,000000
000091,000004,000000,000000,000000
000092,000005,000000,000000,000000
000093,000008,000000,000000,000000
000094,000007,000000,000000,000000
000095,000007,000000,000000,000000
000096,000002,000000,000000,000000
000097,000006,000000,000000,000000
000098,000005,000000,000000,000000
000099,000004,000000,000000,000000
000100,000003,000000,000000,000000
000101,000005,000000,000000,000000
000102,000007,000000,000000,000000
000103,000006,000000,000000,000000
000104,000001,000000,000000,000000
000105,000005,000000,000000,000000
000106,000006,000000,000000,000000
000107,000000,000000,000000,000000
000108,000006,000000,000000,000000
000109,000005,000000,000000,000000
000110,000006,000000,000000,000000
000111,000007,000000,000000,000000
000112,000001,000000,000000,000000
000113,000006,000000,000000,000000
000114,000004,000000,000000,000000
000115,000003,000000,000000,000000
000116,000006,000000,000000,000000
000117,000002,000000,000000,000000
000118,000002,000000,000000,000000
000119,000007,000000,000000,000000
000120,000008,000000,000000,000000
000121,000006,000000,000000,000000
000122,000003,000000,000000,000000
000123,000005,000000,000000,000000
000124,000006,000000,000000,000000
000125,000002,000000,000000,000000
000126,000005,000000,000000,000000
000127,000006,000000,000000,000000
000128,000004,000000,000000,000000
000129,000002,000000,000000,000000
000130,000004,000000,000000,000000
000131,000005,000000,000000,000000
000132,000007,000001,000000,000000
000133,000004,000000,000000,000000
000134,000002,000000,000000,000000
000135,000001,000000,000000,000000
000136,000002,000000,000000,000000
000137,000003,000000,000000,000000
000138,000002,000000,000000,000000
000139,000004,000000,000000,000000
000140,000007,000000,000000,000000
000141,000005,000000,000000,000000
000142,000001,000000,000000,000000
000143,000004,000000,000000,000000
000144,000004,000000,000000,000000
000145,000000,000000,000000,000000
000146,000002,000000,000000,000000
000147,000004,000000,000000,000000
000148,000003,000000,000000,000000
000149,000005,000000,000000,000000
000150,000003,000000,000000,000000
000151,000003,000000,000000,000000
000152,000003,000000,000000,000000
000153,000006,000000,000000,000000
000154,000003,000000,000000,000000
000155,000004,000000,000000,000000
000156,000000,000000,000000,000000
000157,000006,000000,000000,000000
000158,000000,000000,000000,000000
000159,000001,000000,000000,000000
000160,000002,000000,000000,000000
000161,000002,000000,000000,000000
000162,000001,000000,000000,000000
000163,000002,000000,000000,000000
000164,000003,000000,000000,000000
000165,000000,000000,000000,000000
000166,000002,000000,000000,000000
000167,000001,000000,000000,000000
000168,000000,000000,000000,000000
