time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000000
000009,000000
000010,000002
000011,014872
000012,028996
000013,031948
000014,034641
000015,037704
000016,042113
000017,028332
000018,028303
000019,022247
000020,019638
000021,016703
000022,016622
000023,017317
000024,013815
000025,012223
000026,080653
000027,25510790
000028,9621780
000029,295760
000030,069173
000031,022556
000032,018927
000033,005560
000034,002341
000035,000419
000036,000304
000037,000149
000038,000086
000039,000047
000040,000038
000041,000028
000042,000047
000043,000038
000044,000028
000045,000028
000046,000026
000047,000023
000048,000027
000049,000012
000050,000018
000051,000008
000052,000025
000053,000015
000054,000015
000055,000016
000056,000017
000057,000016
000058,000018
000059,000017
000060,000023
000061,000015
000062,000019
000063,000013
000064,000016
000065,000020
000066,000023
000067,000018
000068,000021
000069,000013
000070,000030
000071,000022
000072,000021
000073,000014
000074,000014
000075,000027
000076,000030
000077,000026
000078,000018
000079,000020
000080,000023
000081,000025
000082,000026
000083,000023
000084,000021
000085,000026
000086,000029
000087,000026
000088,000026
000089,000037
000090,000044
000091,000033
000092,000031
000093,000033
000094,000034
000095,000033
000096,000035
000097,000036
000098,000032
000099,000040
000100,000041
000101,000046
000102,000043
000103,000031
000104,000032
000105,000025
000106,000026
000107,000034
000108,000026
000109,000030
000110,000024
000111,000029
000112,000031
000113,000024
000114,000029
000115,000030
000116,000029
000117,000026
000118,000029
000119,000026
000120,000032
000121,000028
000122,000040
000123,000027
000124,000031
000125,000042
000126,000035
000127,000028
000128,000031
000129,000035
000130,000023
000131,000036
000132,000033
000133,000030
000134,000027
000135,000024
000136,000026
000137,000037
000138,000032
000139,000025
000140,000032
000141,000016
000142,000029
000143,000020
000144,000028
000145,000028
000146,000024
000147,000032
000148,000027
000149,000023
000150,000021
000151,000020
000152,000030
000153,000022
000154,000023
000155,000028
000156,000024
000157,000021
000158,000021
000159,000017
000160,000021
000161,000028
000162,000024
000163,000013
000164,000024
000165,000018
000166,000016
000167,000019
000168,000016
000169,000015
000170,000012
000171,000007
000172,000015
000173,000006
000174,000010
000175,000012
000176,000006
000177,000010
000178,000005
000179,000005
000180,000005
000181,000005
000182,000014
000183,000006
000184,000010
000185,000005
000186,000009
000187,000005
000188,000002
000189,000006
000190,000003
000191,000005
000192,000002
000193,000004
000194,000006
000195,000003
000196,000004
000197,000002
000198,000005
000199,000002
000200,000001
000201,000001
000202,000000
000203,000002
000204,000000
000205,000003
000206,000005
000207,000002
000208,000003
000209,000001
000210,000000
000211,000001
000212,000002
000213,000000
000214,000004
000215,000002
000216,000003
000217,000000
000218,000005
000219,000000
000220,000001
000221,000000
000222,000002
000223,000001
000224,000001
000225,000000
000226,000000
000227,000000
000228,000001
000229,000002
000230,000001
000231,000001
000232,000000
000233,000000
000234,000002
000235,000001
000236,000000
000237,000000
000238,000000
000239,000000
000240,000000
000241,000000
000242,000000
000243,000000
000244,000001
000245,000001
000246,000000
000247,000000
000248,000003
000249,000000
000250,000001
000251,000001
000252,000000
000253,000000
000254,000000
000255,000003
000256,000000
000257,000001
000258,000001
000259,000000
000260,000000
000261,000000
000262,000000
000263,000001
000264,000000
000265,000000
000266,000001
000267,000000
000268,000000
000269,000002
000270,000001
000271,000000
000272,000001
000273,000002
000274,000000
000275,000001
000276,000001
000277,000001
000278,000002
000279,000000
000280,000001
000281,000000
000282,000000
000283,000000
000284,000000
000285,000000
000286,000000
000287,000001
000288,000001
000289,000000
000290,000000
000291,000000
000292,000000
000293,000000
000294,000000
000295,000001
000296,000000
000297,000000
000298,000000
000299,000000
000300,000000
000301,000001
000302,000000
000303,000000
000304,000000
000305,000000
000306,000001
000307,000000
000308,000000
000309,000000
000310,000000
000311,000000
000312,000000
000313,000000
000314,000000
000315,000000
000316,000000
000317,000001
000318,000000
000319,000000
000320,000000
000321,000000
000322,000000
000323,000001
000324,000000
000325,000000
000326,000000
000327,000001
000328,000000
000329,000000
000330,000000
000331,000000
000332,000000
000333,000000
000334,000000
000335,000000
000336,000000
000337,000000
000338,000000
000339,000001
000340,000000
000341,000000
000342,000000
000343,000000
000344,000000
000345,000000
000346,000000
000347,000000
000348,000000
000349,000000
000350,000000
000351,000000
000352,000000
000353,000000
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000000
000361,000000
000362,000000
000363,000000
000364,000000
000365,000000
000366,000000
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000000
000374,000000
000375,000000
000376,000000
000377,000001
000378,000000
000379,000000
000380,000000
000381,000000
000382,000000
000383,000000
000384,000000
000385,000000
000386,000000
000387,000000
000388,000000
000389,000000
000390,000000
000391,000000
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000000
000399,000000
000400,000000
000401,000000
000402,000000
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000000
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000000
000428,000000
000429,000000
000430,000000
000431,000000
000432,000000
000433,000000
000434,000000
000435,000000
000436,000000
000437,000000
000438,000000
000439,000000
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000000
000461,000000
000462,000000
000463,000000
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000000
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000000
000499,000000
