time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000000
000009,000000
000010,000001
000011,002665
000012,017162
000013,023251
000014,022687
000015,018308
000016,014475
000017,024683
000018,080647
000019,11913657
000020,9431216
000021,6299010
000022,4079830
000023,1935605
000024,1126279
000025,065895
000026,038144
000027,143051
000028,119746
000029,127904
000030,125104
000031,118887
000032,066279
000033,042029
000034,023688
000035,017735
000036,015682
000037,014191
000038,013206
000039,012611
000040,011402
000041,010466
000042,008321
000043,006017
000044,004502
000045,003292
000046,002360
000047,001917
000048,001464
000049,001134
000050,000806
000051,000604
000052,000425
000053,000389
000054,000282
000055,000237
000056,000173
000057,000159
000058,000131
000059,000101
000060,000096
000061,000080
000062,000072
000063,000062
000064,000058
000065,000061
000066,000058
000067,000070
000068,000067
000069,000058
000070,000059
000071,000051
000072,000067
000073,000048
000074,000046
000075,000054
000076,000061
000077,000053
000078,000038
000079,000054
000080,000046
000081,000040
000082,000060
000083,000046
000084,000045
000085,000048
000086,000043
000087,000049
000088,000044
000089,000043
000090,000045
000091,000041
000092,000045
000093,000044
000094,000037
000095,000030
000096,000041
000097,000029
000098,000032
000099,000036
000100,000037
000101,000040
000102,000041
000103,000033
000104,000025
000105,000038
000106,000024
000107,000039
000108,000024
000109,000042
000110,000030
000111,000037
000112,000029
000113,000033
000114,000036
000115,000046
000116,000031
000117,000047
000118,000031
000119,000035
000120,000056
000121,000047
000122,000034
000123,000049
000124,000044
000125,000052
000126,000056
000127,000051
000128,000049
000129,000049
000130,000050
000131,000053
000132,000041
000133,000061
000134,000048
000135,000054
000136,000058
000137,000059
000138,000060
000139,000055
000140,000052
000141,000050
000142,000058
000143,000050
000144,000029
000145,000038
000146,000039
000147,000041
000148,000048
000149,000043
000150,000034
000151,000043
000152,000044
000153,000045
000154,000034
000155,000051
000156,000037
000157,000034
000158,000046
000159,000027
000160,000045
000161,000033
000162,000045
000163,000041
000164,000031
000165,000049
000166,000041
000167,000033
000168,000036
000169,000039
000170,000038
000171,000031
000172,000042
000173,000035
000174,000029
000175,000046
000176,000021
000177,000031
000178,000034
000179,000039
000180,000035
000181,000033
000182,000028
000183,000024
000184,000039
000185,000031
000186,000017
000187,000031
000188,000022
000189,000021
000190,000032
000191,000022
000192,000022
000193,000021
000194,000026
000195,000020
000196,000019
000197,000019
000198,000025
000199,000025
000200,000022
000201,000020
000202,000023
000203,000024
000204,000017
000205,000014
000206,000013
000207,000016
000208,000021
000209,000019
000210,000027
000211,000032
000212,000019
000213,000021
000214,000022
000215,000017
000216,000018
000217,000014
000218,000014
000219,000011
000220,000016
000221,000011
000222,000014
000223,000015
000224,000008
000225,000009
000226,000010
000227,000012
000228,000012
000229,000010
000230,000008
000231,000007
000232,000009
000233,000009
000234,000011
000235,000003
000236,000007
000237,000003
000238,000006
000239,000009
000240,000003
000241,000007
000242,000012
000243,000005
000244,000008
000245,000004
000246,000004
000247,000008
000248,000005
000249,000007
000250,000006
000251,000007
000252,000009
000253,000006
000254,000006
000255,000003
000256,000004
000257,000003
000258,000004
000259,000004
000260,000007
000261,000002
000262,000000
000263,000003
000264,000003
000265,000006
000266,000005
000267,000005
000268,000004
000269,000002
000270,000003
000271,000003
000272,000002
000273,000001
000274,000000
000275,000002
000276,000004
000277,000000
000278,000005
000279,000005
000280,000006
000281,000002
000282,000000
000283,000002
000284,000001
000285,000000
000286,000001
000287,000002
000288,000000
000289,000000
000290,000001
000291,000002
000292,000001
000293,000000
000294,000002
000295,000001
000296,000003
000297,000001
000298,000000
000299,000002
000300,000002
000301,000002
000302,000001
000303,000000
000304,000000
000305,000000
000306,000000
000307,000000
000308,000001
000309,000004
000310,000003
000311,000001
000312,000001
000313,000004
000314,000000
000315,000002
000316,000002
000317,000001
000318,000001
000319,000001
000320,000002
000321,000000
000322,000001
000323,000001
000324,000000
000325,000000
000326,000001
000327,000001
000328,000000
000329,000000
000330,000001
000331,000001
000332,000000
000333,000000
000334,000000
000335,000000
000336,000000
000337,000001
000338,000000
000339,000001
000340,000001
000341,000000
000342,000000
000343,000000
000344,000000
000345,000000
000346,000001
000347,000000
000348,000000
000349,000000
000350,000000
000351,000000
000352,000000
000353,000000
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000000
000361,000000
000362,000000
000363,000000
000364,000001
000365,000000
000366,000000
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000000
000374,000000
000375,000000
000376,000000
000377,000000
000378,000000
000379,000000
000380,000000
000381,000000
000382,000000
000383,000000
000384,000000
000385,000000
000386,000000
000387,000000
000388,000000
000389,000000
000390,000000
000391,000000
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000000
000399,000000
000400,000000
000401,000000
000402,000000
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000000
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000000
000428,000001
000429,000000
000430,000000
000431,000000
000432,000000
000433,000000
000434,000000
000435,000000
000436,000000
000437,000000
000438,000000
000439,000001
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000000
000461,000000
000462,000000
000463,000000
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000000
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000000
000499,000000
