time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000000
000009,000000
000010,000010
000011,029114
000012,042561
000013,045260
000014,045756
000015,046920
000016,049861
000017,033360
000018,038276
000019,048443
000020,019382
000021,006590
000022,016988
000023,017331
000024,009772
000025,002778
000026,093453
000027,34226080
000028,102393
000029,976311
000030,133368
000031,009093
000032,000958
000033,000477
000034,000752
000035,000315
000036,000157
000037,000090
000038,000067
000039,000045
000040,000038
000041,000042
000042,000044
000043,000034
000044,000039
000045,000040
000046,000034
000047,000031
000048,000033
000049,000027
000050,000035
000051,000032
000052,000043
000053,000040
000054,000038
000055,000029
000056,000049
000057,000041
000058,000029
000059,000029
000060,000039
000061,000043
000062,000039
000063,000021
000064,000027
000065,000025
000066,000037
000067,000037
000068,000030
000069,000029
000070,000030
000071,000029
000072,000024
000073,000027
000074,000036
000075,000047
000076,000046
000077,000036
000078,000017
000079,000039
000080,000052
000081,000048
000082,000052
000083,000049
000084,000041
000085,000040
000086,000034
000087,000038
000088,000037
000089,000030
000090,000042
000091,000036
000092,000034
000093,000038
000094,000040
000095,000027
000096,000029
000097,000035
000098,000033
000099,000031
000100,000036
000101,000026
000102,000024
000103,000031
000104,000033
000105,000031
000106,000018
000107,000022
000108,000022
000109,000011
000110,000018
000111,000014
000112,000014
000113,000012
000114,000020
000115,000019
000116,000019
000117,000020
000118,000017
000119,000016
000120,000020
000121,000020
000122,000020
000123,000027
000124,000026
000125,000016
000126,000032
000127,000016
000128,000020
000129,000024
000130,000006
000131,000014
000132,000014
000133,000013
000134,000008
000135,000008
000136,000007
000137,000001
000138,000005
000139,000005
000140,000007
000141,000004
000142,000004
000143,000004
000144,000005
000145,000005
000146,000002
000147,000002
000148,000001
000149,000002
000150,000007
000151,000001
000152,000002
000153,000002
000154,000001
000155,000001
000156,000001
000157,000005
000158,000004
000159,000003
000160,000000
000161,000003
000162,000000
000163,000000
000164,000001
000165,000002
000166,000001
000167,000000
000168,000000
000169,000001
000170,000001
000171,000002
000172,000001
000173,000002
000174,000005
000175,000001
000176,000001
000177,000001
000178,000003
000179,000001
000180,000004
000181,000001
000182,000004
000183,000003
000184,000003
000185,000000
000186,000000
000187,000001
000188,000002
000189,000005
000190,000000
000191,000001
000192,000001
000193,000001
000194,000000
000195,000001
000196,000000
000197,000002
000198,000000
000199,000001
000200,000000
000201,000001
000202,000000
000203,000000
000204,000000
000205,000002
000206,000000
000207,000001
000208,000000
000209,000000
000210,000000
000211,000001
000212,000001
000213,000001
000214,000000
000215,000000
000216,000001
000217,000000
000218,000000
000219,000000
000220,000000
000221,000000
000222,000000
000223,000001
000224,000000
000225,000000
000226,000001
000227,000000
000228,000001
000229,000001
000230,000002
000231,000002
000232,000000
000233,000000
000234,000001
000235,000001
000236,000001
000237,000000
000238,000001
000239,000005
000240,000000
000241,000000
000242,000003
000243,000000
000244,000001
000245,000000
000246,000001
000247,000001
000248,000000
000249,000000
000250,000000
000251,000001
000252,000002
000253,000000
000254,000000
000255,000001
000256,000000
000257,000000
000258,000001
000259,000000
000260,000000
000261,000000
000262,000001
000263,000001
000264,000000
000265,000001
000266,000000
000267,000000
000268,000000
000269,000000
000270,000000
000271,000000
000272,000000
000273,000001
000274,000002
000275,000001
000276,000000
000277,000000
000278,000001
000279,000000
000280,000001
000281,000000
000282,000000
000283,000000
000284,000000
000285,000000
000286,000000
000287,000000
000288,000001
000289,000001
000290,000000
000291,000000
000292,000000
000293,000000
000294,000001
000295,000000
000296,000000
000297,000000
000298,000001
000299,000000
000300,000000
000301,000000
000302,000000
000303,000000
000304,000000
000305,000000
000306,000000
000307,000000
000308,000002
000309,000000
000310,000001
000311,000000
000312,000000
000313,000000
000314,000001
000315,000000
000316,000000
000317,000001
000318,000000
000319,000000
000320,000000
000321,000000
000322,000000
000323,000000
000324,000000
000325,000000
000326,000000
000327,000002
000328,000000
000329,000000
000330,000000
000331,000000
000332,000000
000333,000000
000334,000000
000335,000000
000336,000000
000337,000001
000338,000000
000339,000000
000340,000000
000341,000000
000342,000000
000343,000000
000344,000000
000345,000000
000346,000000
000347,000001
000348,000001
000349,000000
000350,000000
000351,000000
000352,000000
000353,000000
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000000
000361,000000
000362,000000
000363,000000
000364,000000
000365,000000
000366,000000
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000000
000374,000000
000375,000000
000376,000000
000377,000000
000378,000000
000379,000000
000380,000000
000381,000000
000382,000000
000383,000000
000384,000000
000385,000000
000386,000000
000387,000001
000388,000000
000389,000000
000390,000001
000391,000000
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000000
000399,000000
000400,000000
000401,000000
000402,000000
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000000
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000000
000428,000000
000429,000000
000430,000000
000431,000000
000432,000000
000433,000000
000434,000000
000435,000000
000436,000000
000437,000000
000438,000000
000439,000000
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000000
000461,000000
000462,000000
000463,000001
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000000
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000000
000499,000000
