time,core1
000000,000000
000001,000000
000002,000000
000003,000000
000004,000000
000005,000000
000006,000000
000007,000000
000008,000001
000009,000000
000010,000000
000011,003830
000012,020504
000013,027339
000014,024019
000015,016755
000016,013053
000017,025528
000018,118215
000019,13073762
000020,10009797
000021,5067920
000022,4033256
000023,1548631
000024,1064534
000025,095186
000026,017825
000027,006079
000028,002781
000029,001359
000030,000656
000031,000346
000032,000224
000033,000155
000034,000103
000035,013877
000036,130809
000037,227365
000038,156244
000039,079916
000040,052157
000041,037209
000042,021476
000043,014802
000044,013153
000045,012618
000046,012291
000047,010971
000048,009546
000049,007734
000050,005820
000051,004241
000052,002937
000053,002249
000054,001639
000055,001221
000056,000840
000057,000628
000058,000480
000059,000413
000060,000247
000061,000220
000062,000177
000063,000144
000064,000128
000065,000113
000066,000103
000067,000078
000068,000064
000069,000059
000070,000065
000071,000054
000072,000042
000073,000046
000074,000053
000075,000045
000076,000046
000077,000034
000078,000041
000079,000040
000080,000042
000081,000042
000082,000033
000083,000038
000084,000038
000085,000039
000086,000035
000087,000049
000088,000036
000089,000043
000090,000036
000091,000044
000092,000044
000093,000037
000094,000051
000095,000033
000096,000039
000097,000048
000098,000039
000099,000044
000100,000049
000101,000049
000102,000039
000103,000042
000104,000039
000105,000053
000106,000042
000107,000051
000108,000051
000109,000041
000110,000032
000111,000033
000112,000045
000113,000037
000114,000050
000115,000031
000116,000039
000117,000028
000118,000032
000119,000031
000120,000032
000121,000037
000122,000029
000123,000032
000124,000035
000125,000023
000126,000026
000127,000034
000128,000028
000129,000035
000130,000039
000131,000040
000132,000035
000133,000034
000134,000025
000135,000036
000136,000030
000137,000029
000138,000023
000139,000028
000140,000022
000141,000028
000142,000027
000143,000021
000144,000019
000145,000018
000146,000017
000147,000022
000148,000017
000149,000013
000150,000021
000151,000012
000152,000015
000153,000020
000154,000010
000155,000017
000156,000018
000157,000023
000158,000020
000159,000019
000160,000016
000161,000023
000162,000020
000163,000020
000164,000014
000165,000013
000166,000016
000167,000017
000168,000017
000169,000009
000170,000007
000171,000010
000172,000008
000173,000006
000174,000004
000175,000011
000176,000006
000177,000003
000178,000002
000179,000007
000180,000006
000181,000006
000182,000004
000183,000002
000184,000006
000185,000004
000186,000004
000187,000008
000188,000003
000189,000003
000190,000007
000191,000002
000192,000004
000193,000002
000194,000007
000195,000002
000196,000007
000197,000003
000198,000005
000199,000002
000200,000002
000201,000002
000202,000006
000203,000001
000204,000003
000205,000005
000206,000005
000207,000005
000208,000003
000209,000003
000210,000003
000211,000003
000212,000002
000213,000003
000214,000003
000215,000003
000216,000005
000217,000003
000218,000002
000219,000003
000220,000001
000221,000003
000222,000000
000223,000003
000224,000001
000225,000003
000226,000001
000227,000001
000228,000003
000229,000003
000230,000001
000231,000001
000232,000002
000233,000001
000234,000002
000235,000001
000236,000000
000237,000002
000238,000001
000239,000002
000240,000002
000241,000004
000242,000001
000243,000001
000244,000001
000245,000006
000246,000002
000247,000002
000248,000001
000249,000000
000250,000000
000251,000004
000252,000001
000253,000001
000254,000003
000255,000001
000256,000000
000257,000005
000258,000002
000259,000001
000260,000000
000261,000000
000262,000002
000263,000001
000264,000004
000265,000001
000266,000000
000267,000000
000268,000000
000269,000001
000270,000001
000271,000002
000272,000002
000273,000001
000274,000001
000275,000000
000276,000001
000277,000000
000278,000002
000279,000003
000280,000002
000281,000002
000282,000002
000283,000000
000284,000001
000285,000001
000286,000001
000287,000000
000288,000001
000289,000001
000290,000004
000291,000000
000292,000000
000293,000001
000294,000001
000295,000000
000296,000000
000297,000000
000298,000000
000299,000000
000300,000002
000301,000000
000302,000000
000303,000000
000304,000001
000305,000000
000306,000000
000307,000001
000308,000001
000309,000000
000310,000000
000311,000001
000312,000000
000313,000002
000314,000001
000315,000002
000316,000000
000317,000000
000318,000001
000319,000000
000320,000000
000321,000001
000322,000000
000323,000000
000324,000001
000325,000000
000326,000000
000327,000000
000328,000001
000329,000002
000330,000000
000331,000000
000332,000000
000333,000000
000334,000000
000335,000001
000336,000002
000337,000000
000338,000000
000339,000000
000340,000000
000341,000000
000342,000000
000343,000000
000344,000000
000345,000000
000346,000000
000347,000000
000348,000000
000349,000000
000350,000000
000351,000000
000352,000000
000353,000000
000354,000000
000355,000000
000356,000000
000357,000000
000358,000000
000359,000000
000360,000000
000361,000000
000362,000000
000363,000000
000364,000000
000365,000000
000366,000001
000367,000000
000368,000000
000369,000000
000370,000000
000371,000000
000372,000000
000373,000000
000374,000000
000375,000000
000376,000000
000377,000000
000378,000000
000379,000000
000380,000000
000381,000000
000382,000000
000383,000000
000384,000001
000385,000000
000386,000000
000387,000000
000388,000000
000389,000000
000390,000000
000391,000000
000392,000000
000393,000000
000394,000000
000395,000000
000396,000000
000397,000000
000398,000001
000399,000000
000400,000000
000401,000000
000402,000000
000403,000000
000404,000000
000405,000000
000406,000000
000407,000000
000408,000000
000409,000000
000410,000000
000411,000000
000412,000000
000413,000000
000414,000000
000415,000000
000416,000000
000417,000000
000418,000000
000419,000000
000420,000000
000421,000000
000422,000000
000423,000000
000424,000000
000425,000000
000426,000000
000427,000000
000428,000000
000429,000000
000430,000000
000431,000000
000432,000000
000433,000000
000434,000000
000435,000000
000436,000000
000437,000000
000438,000000
000439,000000
000440,000000
000441,000000
000442,000000
000443,000000
000444,000000
000445,000000
000446,000000
000447,000000
000448,000000
000449,000000
000450,000000
000451,000000
000452,000000
000453,000000
000454,000000
000455,000000
000456,000000
000457,000000
000458,000000
000459,000000
000460,000001
000461,000000
000462,000000
000463,000000
000464,000000
000465,000000
000466,000000
000467,000000
000468,000000
000469,000000
000470,000000
000471,000000
000472,000000
000473,000000
000474,000000
000475,000000
000476,000000
000477,000000
000478,000000
000479,000000
000480,000000
000481,000000
000482,000000
000483,000000
000484,000000
000485,000000
000486,000000
000487,000000
000488,000000
000489,000000
000490,000000
000491,000000
000492,000000
000493,000000
000494,000000
000495,000000
000496,000000
000497,000000
000498,000000
000499,000000
